@relation modGroup

@attribute I1 numeric
@attribute I2 numeric
@attribute R1 numeric
@attribute R2 numeric
@attribute class {0,1,2}

@data
0.16027,0.456613,0.250105,0.819714,1
0.829737,0.538775,0.213351,0.808507,0
0.528743,0.519003,0.688292,0.473903,2
0.270057,0.747802,0.040642,0.555888,2
0.575673,0.761038,0.091203,0.574486,0
0.134623,0.817846,0.172852,0.162772,2
0.875588,0.546361,0.149397,0.393465,0
0.087464,0.758497,0.528313,0.83587,2
0.253509,0.790768,0.24131,0.544056,2
0.310655,0.51591,0.556443,0.888268,1
0.469953,0.795957,0.812574,0.781487,0
0.213741,0.778287,0.468492,0.483775,2
0.529175,0.825049,0.859475,0.558389,0
0.473874,0.479009,0.575582,0.201177,2
0.504117,0.751743,0.064941,0.438581,0
0.465273,0.439875,0.179486,0.075995,2
0.195913,0.486565,0.085999,0.926618,1
0.521878,0.024914,0.309903,0.45078,1
0.563339,0.681444,0.042084,0.182583,2
0.379823,0.837834,0.191115,0.80179,0
0.58135,0.589585,0.578109,0.154976,2
0.775005,0.493219,0.561878,0.505805,0
0.528376,0.105472,0.836587,0.483285,1
0.176116,0.470381,0.629052,0.15323,1
0.767681,0.55531,0.534276,0.790433,0
0.857717,0.295619,0.87667,0.609861,2
0.465523,0.205238,0.483853,0.893814,1
0.557371,0.916972,0.606325,0.44028,0
0.80521,0.430313,0.128246,0.850274,0
0.463229,0.185273,0.580884,0.511932,1
0.529371,0.140656,0.489663,0.136988,1
0.506532,0.736436,0.887232,0.253048,0
0.534589,0.712717,0.559113,0.192587,0
0.520155,0.200074,0.150933,0.415832,1
0.437405,0.881394,0.544799,0.560479,0
0.853504,0.206376,0.578537,0.844966,2
0.526938,0.532205,0.199358,0.480039,2
0.470795,0.469918,0.789496,0.838265,2
0.81838,0.597353,0.216526,0.197147,0
0.553212,0.534012,0.821587,0.49834,2
0.459275,0.49467,0.920608,0.171501,2
0.44065,0.120678,0.581294,0.764485,1
0.487231,0.566369,0.186577,0.152939,2
0.469695,0.468562,0.487824,0.909669,2
0.168553,0.10335,0.524106,0.980045,0
0.822944,0.459132,0.868319,0.882463,0
0.529018,0.209669,0.213158,0.194999,1
0.501029,0.870037,0.48813,0.257058,0
0.91397,0.78932,0.536377,0.226227,1
0.07598,0.256686,0.097016,0.813806,0
0.85661,0.666667,0.159914,0.503476,1
0.837595,0.158724,0.141201,0.496636,2
0.92705,0.775638,0.832006,0.244018,2
0.213666,0.053241,0.134131,0.461731,0
0.51566,0.857075,0.101066,0.818347,2
0.118143,0.198767,0.840655,0.165007,0
0.56849,0.485823,0.884883,0.777034,2
0.193589,0.890533,0.883685,0.098266,2
0.192301,0.899965,0.525352,0.610296,2
0.215903,0.79953,0.542719,0.497866,2
0.161147,0.85411,0.151666,0.186515,2
0.510321,0.147406,0.10386,0.57737,1
0.158776,0.758237,0.543015,0.120719,2
0.162154,0.227628,0.493616,0.48858,0
0.158298,0.311478,0.247691,0.147094,0
0.504132,0.121695,0.204477,0.236259,1
0.404486,0.427867,0.20426,0.834438,0
0.14779,0.453332,0.871192,0.835675,1
0.444346,0.802839,0.911728,0.198268,0
0.433552,0.092771,0.143489,0.138037,1
0.559562,0.172203,0.87683,0.537583,1
0.592011,0.792064,0.887003,0.785678,0
0.837814,0.122077,0.433167,0.886974,2
0.232466,0.10799,0.844846,0.889936,0
0.487926,0.453777,0.206394,0.5105,2
0.617452,0.726887,0.457165,0.21449,0
0.070185,0.841217,0.258121,0.835514,2
0.784283,0.871097,0.261367,0.782349,1
0.478448,0.509555,0.840753,0.78391,2
0.48764,0.844633,0.469586,0.272159,0
0.130077,0.107758,0.885168,0.499715,0
0.477323,0.160046,0.761798,0.144823,1
0.183266,0.036077,0.174053,0.724681,0
0.480213,0.117783,0.791359,0.234405,1
0.265298,0.845327,0.167499,0.139568,2
0.747119,0.802086,0.820718,0.591104,1
0.7729,0.268152,0.872987,0.524208,2
0.445019,0.777336,0.142609,0.558854,0
0.833989,0.530137,0.806545,0.812083,0
0.092812,0.19533,0.506683,0.467707,0
0.111242,0.513161,0.841388,0.501814,1
0.183239,0.504194,0.941397,0.513768,1
0.806539,0.493611,0.895567,0.79745,0
0.559615,0.42696,0.192421,0.125272,2
0.456582,0.026668,0.879573,0.167804,2
0.424468,0.119514,0.234558,0.842044,1
0.316387,0.545902,0.480425,0.547338,1
0.175431,0.875025,0.4874,0.513473,2
0.248295,0.423857,0.747441,0.467643,1
0.760793,0.415721,0.891409,0.446922,0
0.512696,0.488573,0.159123,0.585882,2
0.772435,0.419224,0.255793,0.567958,0
0.8255,0.1714,0.46577,0.798493,2
0.84536,0.79771,0.867291,0.172709,1
0.422396,0.792635,0.882721,0.153497,0
0.756624,0.740314,0.793181,0.863646,1
0.857926,0.194078,0.516661,0.214983,2
0.156692,0.481466,0.885861,0.847469,1
0.794135,0.176352,0.927951,0.108101,2
0.745947,0.128004,0.900811,0.134332,2
0.432206,0.799857,0.371664,0.700687,0
0.167999,0.182628,0.452524,0.187905,0
0.160046,0.155972,0.035991,0.501755,0
0.101424,0.48574,0.79645,0.152519,1
0.890781,0.787344,0.227756,0.808135,1
0.875159,0.210629,0.666667,0.821805,2
0.137935,0.590893,0.514834,0.220218,1
0.516409,0.424029,0.121191,0.133622,0
0.492904,0.484373,0.152845,0.88236,2
0.41232,0.789937,0.834359,0.803182,0
0.11377,0.224877,0.113011,0.904858,0
0.09511,0.791349,0.950267,0.532739,2
0.504004,0.142185,0.491177,0.182893,1
0.110615,0.440703,0.846332,0.151926,1
0.725317,0.506947,0.194639,0.097545,0
0.233923,0.158454,0.734989,0.761686,0
0.879503,0.790798,0.864337,0.465766,1
0.538091,0.850967,0.507524,0.62807,0
0.725877,0.785268,0.845904,0.045067,1
0.508659,0.553741,0.842632,0.172094,2
0.790506,0.478935,0.1396,0.811669,0
0.880856,0.211482,0.450644,0.514246,2
0.199244,0.854992,0.887607,0.213553,2
0.501341,0.239993,0.591601,0.518006,1
0.543296,0.152461,0.59554,0.865626,1
0.52598,0.48889,0.879118,0.465402,1
0.416533,0.530375,0.076053,0.479458,2
0.424762,0.523289,0.771677,0.186033,2
0.177791,0.425885,0.51502,0.253286,1
0.225504,0.525126,0.234217,0.369628,1
0.174296,0.787418,0.941785,0.475973,2
0.705759,0.465951,0.474558,0.460413,0
0.493543,0.850149,0.157362,0.529851,0
0.467294,0.490867,0.869555,0.470134,2
0.718312,0.465949,0.761985,0.12177,0
0.105807,0.530711,0.594242,0.121253,2
0.580542,0.816701,0.830837,0.18562,0
0.25303,0.800618,0.713212,0.785678,2
0.498522,0.893884,0.529538,0.204922,0
0.528568,0.212987,0.099981,0.197774,1
0.798088,0.080379,0.747417,0.828552,2
0.901327,0.080071,0.628096,0.120056,2
0.575245,0.420374,0.469722,0.47821,2
0.124142,0.623644,0.127813,0.122198,1
0.437954,0.866683,0.785752,0.183025,0
0.832875,0.211242,0.585224,0.074415,2
0.492446,0.898202,0.826314,0.134159,0
0.492823,0.921415,0.538843,0.817138,0
0.124252,0.822765,0.461186,0.799691,2
0.901792,0.54437,0.499308,0.484389,0
0.745687,0.500625,0.205559,0.805018,0
0.14809,0.884985,0.897129,0.52098,2
0.731185,0.842118,0.448578,0.186219,1
0.877439,0.555225,0.470478,0.208553,0
0.037279,0.439849,0.127203,0.807624,1
0.539052,0.417323,0.221706,0.505782,1
0.224593,0.466756,0.820681,0.226289,1
0.885222,0.88351,0.449645,0.183192,1
0.882559,0.776629,0.144858,0.761872,1
0.810714,0.150313,0.606076,0.521066,2
0.143596,0.180541,0.505048,0.819372,0
0.826691,0.155785,0.547413,0.634874,2
0.071052,0.926135,0.395936,0.522212,2
0.778395,0.50598,0.585312,0.158107,0
0.824016,0.82334,0.150686,0.051343,1
0.78375,0.812467,0.1499,0.192649,1
0.182306,0.853639,0.525942,0.776281,2
0.837926,0.871689,0.579197,0.913359,1
0.561099,0.408212,0.900609,0.203308,2
0.82987,0.171981,0.485587,0.3818,2
0.530632,0.78211,0.195601,0.241345,0
0.470373,0.466051,0.125435,0.772923,2
0.439683,0.834086,0.57013,0.874032,0
0.428565,0.540274,0.344479,0.572831,2
0.081623,0.828061,0.213135,0.715075,2
0.530425,0.093616,0.12532,0.212303,1
0.519351,0.146362,0.235024,0.755002,1
0.800464,0.492256,0.931284,0.098756,0
0.18138,0.148054,0.795122,0.836915,0
0.804034,0.44574,0.426033,0.515284,0
0.084435,0.126834,0.827682,0.102387,0
0.438958,0.89722,0.737896,0.806071,1
0.497514,0.177589,0.439521,0.203553,1
0.146725,0.785299,0.118963,0.225567,2
0.481566,0.221016,0.172845,0.485037,1
0.884346,0.867365,0.556898,0.818589,1
0.393152,0.442446,0.16335,0.234599,2
0.131213,0.898808,0.460075,0.782231,2
0.201456,0.610029,0.859418,0.519866,1
0.435972,0.842962,0.516873,0.163127,0
0.15504,0.488277,0.222601,0.190515,1
0.1396,0.207931,0.844396,0.563871,0
0.85989,0.136791,0.737734,0.486433,2
0.723497,0.096756,0.796398,0.501443,2
0.557932,0.965663,0.207372,0.165985,0
0.1203,0.270285,0.443875,0.485519,2
0.244131,0.171495,0.189082,0.848052,0
0.191819,0.50063,0.724667,0.478147,1
0.524427,0.195464,0.823752,0.797277,1
0.798745,0.223346,0.512444,0.871985,2
0.539489,0.412772,0.539893,0.842855,2
0.459413,0.183772,0.52269,0.120013,1
0.410904,0.539244,0.200756,0.92072,2
0.215869,0.508101,0.10941,0.802269,1
0.550805,0.449406,0.818931,0.124952,2
0.486721,0.883393,0.188858,0.04487,0
0.49169,0.864321,0.14095,0.453806,0
0.848442,0.262014,0.888843,0.144046,2
0.261946,0.567296,0.519741,0.90121,1
0.483385,0.536113,0.940699,0.865668,2
0.437111,0.864804,0.06159,0.448829,0
0.481153,0.720098,0.07834,0.109671,2
0.898035,0.135179,0.861309,0.439743,2
0.911867,0.798356,0.565918,0.520924,1
0.155236,0.518541,0.46519,0.841287,0
0.213736,0.212567,0.288636,0.952973,0
0.17122,0.557733,0.098783,0.843765,1
0.772341,0.174135,0.857357,0.064599,2
0.855877,0.202217,0.513285,0.830676,2
0.801018,0.904207,0.466929,0.184866,1
0.123612,0.129003,0.178044,0.196588,0
0.593232,0.815399,0.504775,0.247865,2
0.199032,0.843058,0.192875,0.212552,2
0.199658,0.430041,0.187264,0.488758,1
0.226293,0.876841,0.538079,0.880603,2
0.870604,0.408904,0.913795,0.538723,0
0.133563,0.180494,0.521614,0.210279,0
0.756938,0.458735,0.307097,0.892458,0
0.756583,0.768043,0.388317,0.065413,1
0.142,0.478349,0.83209,0.21794,1
0.059606,0.808315,0.828365,0.500169,2
0.945004,0.503444,0.208356,0.129369,0
0.884056,0.666667,0.185012,0.465648,1
0.137882,0.57687,0.54057,0.5647,1
0.434522,0.791986,0.793458,0.526608,0
0.803207,0.456667,0.423277,0.178069,0
0.472206,0.891589,0.862591,0.161627,0
0.204668,0.092808,0.558781,0.333333,0
0.16196,0.166763,0.891845,0.392599,0
0.233716,0.22093,0.159708,0.528673,0
0.816957,0.81224,0.561702,0.214786,1
0.782387,0.60656,0.889378,0.06627,0
0.835853,0.578482,0.804732,0.817818,0
0.789097,0.764949,0.526124,0.171541,1
0.802177,0.136172,0.452036,0.790463,2
0.141543,0.619616,0.791621,0.884165,1
0.583936,0.923891,0.852613,0.860803,0
0.138103,0.838136,0.795249,0.467413,2
0.223555,0.537519,0.958549,0.016249,1
0.134827,0.116234,0.732914,0.773301,2
0.931328,0.488224,0.802501,0.136433,0
0.246606,0.504425,0.114669,0.451059,1
0.440568,0.801882,0.161844,0.425945,0
0.486767,0.070177,0.47747,0.588545,1
0.918663,0.875514,0.930113,0.483835,1
0.496341,0.545414,0.170164,0.507062,2
0.173335,0.546147,0.498568,0.513608,0
0.394837,0.105701,0.209399,0.541318,1
0.515273,0.219935,0.443928,0.851257,1
0.827171,0.185193,0.848114,0.57946,2
0.220605,0.508365,0.438518,0.097591,1
0.180659,0.669821,0.509343,0.827265,2
0.17323,0.446527,0.836188,0.793639,1
0.195836,0.808254,0.515708,0.132515,2
0.533142,0.159838,0.405188,0.107367,1
0.156971,0.856271,0.848454,0.494733,0
0.529884,0.4568,0.922156,0.513681,2
0.466153,0.515273,0.82752,0.163376,2
0.525082,0.569432,0.869615,0.79271,2
0.55811,0.819854,0.47995,0.477556,2
0.139233,0.505018,0.798836,0.267244,1
0.817893,0.811613,0.595815,0.187755,1
0.850158,0.770009,0.124163,0.759704,1
0.141198,0.114994,0.786984,0.827371,0
0.527973,0.23048,0.554405,0.798711,0
0.486054,0.492956,0.522382,0.516923,2
0.140835,0.868818,0.855252,0.46712,2
0.787672,0.50935,0.283331,0.140759,0
0.236728,0.951347,0.795715,0.491637,2
0.85421,0.835018,0.547965,0.411905,1
0.797143,0.393603,0.540266,0.847594,1
0.784069,0.107656,0.3729,0.513022,1
0.140604,0.617413,0.772458,0.26527,1
0.072017,0.883283,0.123654,0.847681,2
0.86616,0.117247,0.872848,0.550693,0
0.197562,0.185913,0.495646,0.549851,2
0.082221,0.486204,0.832904,0.549166,1
0.452604,0.498119,0.814722,0.180647,2
0.553996,0.138349,0.193928,0.891813,1
0.536428,0.154805,0.126312,0.828746,2
0.597287,0.163663,0.448073,0.743022,1
0.482321,0.19292,0.437476,0.863868,2
0.815909,0.802551,0.48073,0.878523,1
0.517639,0.903271,0.915622,0.872959,0
0.896601,0.887219,0.121924,0.418937,1
0.204276,0.144521,0.396262,0.182663,0
0.140543,0.261171,0.864554,0.113299,0
0.883167,0.184839,0.475468,0.552639,1
0.550929,0.902344,0.171704,0.886622,0
0.864099,0.192633,0.14222,0.1672,2
0.520797,0.123127,0.139006,0.060519,1
0.807467,0.860103,0.215014,0.086636,0
0.448791,0.154735,0.749816,0.159328,1
0.838733,0.509692,0.909972,0.169189,0
0.85511,0.83349,0.107112,0.111218,1
0.13138,0.119586,0.103866,0.253397,0
0.584917,0.125732,0.550894,0.769622,0
0.135887,0.470801,0.121139,0.246932,1
0.182986,0.486131,0.800233,0.799583,1
0.912353,0.166957,0.159466,0.863466,2
0.085528,0.807397,0.736642,0.459484,2
0.842087,0.222828,0.798858,0.06308,2
0.79822,0.825798,0.823345,0.783883,1
0.109165,0.131703,0.193178,0.593323,0
0.515941,0.10311,0.470057,0.216498,1
0.881944,0.538124,0.123144,0.441325,1
0.142519,0.632908,0.190419,0.413559,1
0.541747,0.588226,0.848497,0.588565,2
0.470221,0.569844,0.952017,0.884882,2
0.765928,0.144043,0.77166,0.924661,2
0.529115,0.108334,0.863579,0.266582,2
0.505343,0.820923,0.429008,0.586209,0
0.448449,0.857312,0.22525,0.847997,2
0.855279,0.098701,0.444918,0.919031,1
0.773873,0.152984,0.536181,0.887967,2
0.750957,0.140163,0.490473,0.496801,2
0.190224,0.823545,0.504287,0.204019,2
0.465589,0.091913,0.471638,0.272673,1
0.18222,0.512338,0.187795,0.164543,1
0.842666,0.801698,0.473826,0.757017,1
0.942641,0.411783,0.464495,0.139083,1
0.479017,0.877706,0.62669,0.484236,0
0.841613,0.136107,0.027883,0.79018,2
0.447849,0.513185,0.467053,0.501673,2
0.12108,0.14242,0.15587,0.215324,0
0.475325,0.499348,0.424014,0.834474,2
0.46035,0.804971,0.118134,0.799697,0
0.588718,0.767377,0.805557,0.159601,0
0.848942,0.807478,0.230635,0.145949,1
0.333333,0.374097,0.157563,0.816573,1
0.518698,0.861499,0.859837,0.772669,0
0.210315,0.124851,0.733803,0.520578,0
0.469325,0.936303,0.428329,0.241241,0
0.826451,0.915812,0.861384,0.805707,1
0.202896,0.176978,0.56836,0.105666,0
0.26851,0.861861,0.204638,0.898014,2
0.222149,0.542386,0.464713,0.113466,1
0.82723,0.074852,0.515347,0.51586,1
0.810628,0.441101,0.172207,0.428223,0
0.555529,0.883364,0.146411,0.787464,0
0.145682,0.538738,0.416689,0.546723,1
0.502244,0.44363,0.283025,0.387403,2
0.230911,0.543567,0.863018,0.496508,1
0.508856,0.479844,0.03788,0.227045,2
0.495223,0.8998,0.817207,0.57658,0
0.563994,0.557304,0.506686,0.471087,2
0.075165,0.953847,0.7996,0.754867,2
0.313643,0.898391,0.119379,0.138876,2
0.71374,0.900316,0.435205,0.473513,1
0.562437,0.822117,0.820118,0.058045,0
0.162882,0.076511,0.70137,0.531362,0
0.506905,0.163751,0.523778,0.582673,1
0.229938,0.146972,0.207789,0.848788,1
0.884092,0.596748,0.220344,0.204011,0
0.039615,0.899259,0.473499,0.846707,0
0.51717,0.448271,0.130823,0.819593,2
0.215561,0.489261,0.530419,0.145627,1
0.828795,0.235223,0.892674,0.769025,2
0.498477,0.776382,0.549351,0.176403,0
0.133889,0.829124,0.128703,0.328818,0
0.457286,0.444762,0.185783,0.955451,2
0.792566,0.808531,0.63345,0.802682,1
0.202535,0.21089,0.518677,0.576387,0
0.241394,0.202961,0.471411,0.490859,0
0.436667,0.873809,0.854301,0.04908,0
0.057875,0.43869,0.507987,0.520133,1
0.836588,0.780046,0.806459,0.14741,1
0.79869,0.421525,0.153538,0.895849,0
0.863382,0.175215,0.846234,0.854642,2
0.48932,0.537325,0.554492,0.523717,2
0.799308,0.260532,0.457408,0.487269,2
0.569233,0.503504,0.608295,0.777448,0
0.115669,0.909809,0.785677,0.763204,2
0.771559,0.562441,0.542803,0.453659,0
0.812326,0.78582,0.215758,0.201134,1
0.545309,0.897601,0.181481,0.772281,0
0.412657,0.916235,0.201422,0.911673,0
0.215302,0.169273,0.410286,0.56206,0
0.035309,0.187318,0.910393,0.777539,0
0.253541,0.122935,0.179514,0.090142,0
0.740509,0.623759,0.220772,0.489159,2
0.156869,0.865913,0.877036,0.936161,2
0.559793,0.178502,0.888869,0.520521,1
0.024525,0.158338,0.512821,0.497724,0
0.123738,0.879445,0.836976,0.138506,2
0.481082,0.089138,0.224595,0.894694,1
0.851999,0.554367,0.507059,0.175966,0
0.801361,0.808525,0.51638,0.478796,1
0.435593,0.21904,0.786895,0.552962,1
0.7612,0.419665,0.530858,0.172229,0
0.165447,0.215452,0.834786,0.133448,0
0.463557,0.78921,0.111737,0.087054,0
0.143394,0.416278,0.731599,0.453564,1
0.510583,0.203676,0.923254,0.933383,1
0.160981,0.030131,0.1722,0.564079,0
0.150007,0.472177,0.530823,0.761614,1
0.779795,0.790186,0.556923,0.143059,2
0.815465,0.80065,0.211443,0.901031,1
0.370659,0.050142,0.499498,0.13838,0
0.46321,0.424117,0.547388,0.525113,2
0.133351,0.187447,0.245189,0.236167,0
0.263914,0.135281,0.507836,0.880921,0
0.167036,0.825962,0.17224,0.540511,2
0.822699,0.51501,0.261247,0.441865,0
0.553575,0.55371,0.874224,0.510926,1
0.159951,0.333333,0.830416,0.476965,1
0.52868,0.560239,0.496911,0.780965,2
0.476544,0.829431,0.852854,0.459308,0
0.548393,0.172806,0.202965,0.811573,1
0.276108,0.277873,0.487184,0.08091,0
0.450754,0.44608,0.821792,0.139278,2
0.130641,0.765298,0.444864,0.50912,2
0.838721,0.123823,0.160769,0.236171,2
0.126157,0.863647,0.807709,0.052959,1
0.150962,0.430123,0.520745,0.178392,1
0.859377,0.483266,0.488261,0.150632,0
0.518738,0.125794,0.190672,0.166003,1
0.161577,0.808398,0.815147,0.831473,2
0.757169,0.304998,0.752625,0.519204,2
0.780212,0.577349,0.08677,0.503878,0
0.458315,0.431887,0.444766,0.366517,2
0.168424,0.601245,0.227224,0.827155,1
0.469215,0.486117,0.504934,0.568245,2
0.801701,0.439391,0.904834,0.181608,0
0.199502,0.080525,0.940223,0.49205,0
0.510267,0.172459,0.116547,0.810994,1
0.195737,0.871863,0.81103,0.732407,2
0.842594,0.592303,0.456488,0.765348,0
0.856875,0.542629,0.763922,0.236939,0
0.872651,0.553429,0.85408,0.456889,0
0.26615,0.075464,0.818917,0.46973,0
0.129009,0.744921,0.175906,0.19958,2
0.248257,0.440886,0.785361,0.819399,1
0.484058,0.529301,0.464476,0.478212,2
0.886727,0.504296,0.847376,0.122844,0
0.144192,0.081206,0.499276,0.886043,0
0.245115,0.106868,0.586198,0.810795,1
0.058508,0.50827,0.13733,0.126927,1
0.12419,0.843085,0.865014,0.848041,2
0.490996,0.238369,0.735896,0.53458,1
0.171439,0.549334,0.523274,0.923953,1
0.126998,0.097118,0.875672,0.902202,0
0.865015,0.855553,0.159396,0.508673,2
0.170971,0.513063,0.734737,0.791992,1
0.512939,0.452275,0.087942,0.162064,2
0.817967,0.064923,0.840998,0.175607,2
0.213454,0.833033,0.481676,0.464432,2
0.630798,0.557105,0.421619,0.513428,2
0.437142,0.471176,0.188253,0.120056,2
0.49546,0.433043,0.458755,0.505848,2
0.269694,0.75,0.838538,0.795526,0
0.196701,0.223887,0.898601,0.056481,0
0.825305,0.810942,0.764108,0.235987,1
0.094214,0.137631,0.079916,0.420661,0
0.942935,0.72283,0.561155,0.030027,1
0.906321,0.875816,0.830111,0.451933,1
0.164828,0.103169,0.525838,0.820949,0
0.485513,0.541975,0.254113,0.22842,2
0.100162,0.092994,0.532725,0.824333,0
0.810883,0.127297,0.201764,0.104599,2
0.234416,0.118568,0.212443,0.185606,0
0.897451,0.876233,0.168405,0.17441,1
0.470205,0.589247,0.77045,0.119418,2
0.550705,0.429125,0.576057,0.589912,2
0.441321,0.189524,0.82022,0.839625,0
0.746586,0.517735,0.972103,0.199035,0
0.155434,0.203655,0.738225,0.184927,0
0.116699,0.488316,0.859541,0.459855,1
0.210666,0.165032,0.134759,0.603793,0
0.885192,0.849448,0.426411,0.13502,0
0.866197,0.103495,0.428463,0.119505,2
