@relation 'credit score dataset'

@attribute net_sales numeric
@attribute cost_of_goods_and_services numeric
@attribute cost_of_labor numeric
@attribute depreciation numeric
@attribute financial_expenses numeric
@attribute interest numeric
@attribute EBIT numeric
@attribute EBITDA numeric
@attribute net_income numeric
@attribute assets numeric
@attribute equity numeric
@attribute debt numeric
@attribute cash numeric
@attribute lt_assets numeric
@attribute st_assets numeric
@attribute total_oper_liabilities numeric
@attribute st_oper_liabilities numeric
@attribute lt_liabilities numeric
@attribute st_liabilities numeric
@attribute inventories numeric
@attribute FFO numeric
@attribute OCF numeric
@attribute credit_score {E,A}

@data
5496101,4570427,968053,412263,32431,28403,612510,1024773,508536,7515524,4920579,862500,56095,4671518,2840112,528733,528733,350000,1041233,1206648,920698,489920,A
5894023,4713438,700355,255610,113573,113573,238832,494442,122641,6622270,1875326,3846789,51849,5279476,1323965,893488,893488,2606239,2134038,582311,378251,470018,E
4544577,3295350,742674,86404,10520,8026,417397,503801,690387,4617517,1627620,791740,1750077,1174157,3430879,1067994,1067994,1432,1859734,0,776359,822048,A
7729741,4953775,1906473,683360,71806,71806,83862,767222,36415,6514572,2997107,1777731,37097,2307526,4196214,1315991,1315991,255035,2838687,1844091,714285,234315,A
2245540,1181425,794924,173191,14569,14569,41443,214634,29000,3794326,2727296,430423,19124,3049138,744787,502594,502594,430423,502594,88806,202191,402505,A
17873510,15999780,1905249,626435,1120761,424258,-621956,4479,-1648500,9097497,-1047241,8147729,19690,7409057,1551810,1856601,1856601,5990290,4014040,1032556,-1123048,-1031115,E
15089126,13855928,913018,99146,36962,36962,188768,287914,211730,7720844,3570098,1433334,907365,2512734,5095443,2699110,2699110,1197143,2935301,1395025,308499,260684,A
55756696,47410684,5993304,583914,131882,131882,706578,1290492,646725,18385726,8162992,2523298,247170,975275,17142738,6756558,6756558,1176464,8103392,5515819,962201,-1199214,A
5818119,5078758,442329,249787,89844,89844,126061,375848,43462,5065677,4128595,829862,89183,2328569,2726624,102375,102375,684995,247242,1400137,266634,197108,A
2407441,1477700,809338,124726,30135,30135,560547,685273,436018,3785393,2178352,1124260,273201,1470814,2292880,302781,302781,597873,829168,916837,556253,-179664,A
6799578,6560559,216885,99,34441,34441,19910,20009,3850,2889688,23612,1968614,163634,2865,2886823,897384,897384,1300000,1565998,250943,3949,255697,E
16007639,13819756,1323441,192806,2935,2935,657557,850363,557415,7213611,5186287,5070,1967323,516693,6571212,1808434,1808434,3055,1810449,1796662,705177,1408817,A
8684460,7729490,677190,222088,50257,50257,112751,334839,63284,4599831,1735163,2531339,452505,969716,3629056,274841,274841,2514719,291461,1008579,170274,212616,E
28486516,25433150,2906769,49108,11010,11010,83519,132627,69327,11050684,1084935,0,14240,545155,10499077,9914756,9914756,50993,9914756,110117,78403,23892,E
1281502,1054146,13816,340280,47354,47354,-129402,210878,-160162,3113521,2820095,0,430880,1295998,1815491,257689,257689,0,257689,162354,17582,295055,E
5981321,5067079,1542353,110787,544,544,284274,395061,269422,4312059,2137782,0,187911,527293,3711300,1990443,1990443,0,1990443,1204437,310746,-151539,A
1804552,1331629,514773,41512,36637,36637,88905,130417,45392,2728082,1101848,919493,0,660539,2066642,706163,706163,756528,869128,548139,83753,-479067,E
2559303,2110660,332359,121725,37341,37341,32380,154105,5474,1974999,281900,937511,24969,997002,973454,755588,755588,247511,1445588,480453,127199,-39650,E
22005908,16636149,4341597,1019985,235615,225927,418260,1438245,363342,17159588,3331915,8950965,291376,8862428,8185163,4078058,4078058,7736427,5292596,4518667,997058,-810040,E
14820749,12551068,1530057,452435,61481,61481,305613,758048,294990,7401292,4177248,999289,570810,3799781,3538454,1928289,1928289,794998,2132580,869850,747425,238184,A
4783173,2413290,1312894,73090,87,87,162266,235356,267387,3899739,740444,0,1921607,406912,3478722,381351,381351,0,381351,0,324997,621651,A
7140735,5840040,931988,247198,257737,257737,247504,494702,-58693,12459574,4613451,3963756,32691,10256763,2140676,2372717,2372717,4502180,3343943,1124832,188505,657941,E
97364184,61684944,26143298,7474795,2164744,1745157,4090252,11565047,2605122,99285728,41671740,30619996,1944937,49184068,49801940,20057162,19802358,16266663,35119480,20581650,8937420,12531754,A
22735258,17103026,3354674,763274,122057,122057,2213274,2976548,1795287,13162837,5840449,3984667,63499,6257878,6809129,2891718,2891718,3772727,3103658,3852838,2510289,2318947,A
5031143,4457411,245934,152202,101709,101709,172321,324523,47913,3735187,356138,1400901,41723,1152475,2514669,1978148,1978148,747352,2631697,0,155102,593933,E
5979742,3230958,2606197,56202,4051,4051,-12264,43938,20658,3546980,2043771,0,1464346,475903,3051469,1377432,1377432,0,1377432,0,76860,458882,E
3482871,2231629,1458320,111636,34740,34740,34648,146284,707,3961236,2310621,1140748,20407,2709275,1247717,440430,440430,648398,932780,875708,112343,-47869,E
1745857,1258009,348823,78956,35218,35218,59903,138859,19863,1921322,903441,735571,4085,812718,1108604,282310,282310,380675,637206,747031,98819,160324,E
1310336,1038720,177429,238726,37821,37821,16143,254869,7192,1693687,1289034,5191,6360,1393268,300419,391916,391916,0,397107,13374,245918,144103,A
6615514,3396969,805895,351159,731250,701925,-143372,207787,472045,17635976,4071397,8957957,394649,5977979,11632687,4314369,2138885,7396484,5875842,9191505,603011,2991805,E
16193690,15248957,923671,92025,330518,330518,171118,263143,-65882,8350112,1739921,5878095,51898,4459787,3721187,679130,676811,2319,6554906,2316709,26143,498265,E
4452971,3731359,512073,137740,40575,40575,74770,212510,76073,2944805,1433088,987933,6514,331297,2613508,523784,523784,255754,1255963,591167,213813,213574,E
6975632,3955589,2452001,326460,51830,51830,350508,676968,381712,5067415,1906637,1377150,26181,2218191,2844227,1474679,1471231,644996,2206833,649362,688089,144672,A
4353027,3203820,471808,387782,139872,139872,282697,670479,278250,5520652,1074371,2470737,1495,3424659,2070736,1936716,1882441,1437854,2969599,704,637093,637226,E
2061146,1445924,320091,197505,9609,9609,99373,296878,68731,2597091,1564993,560000,205524,1464322,1120439,472098,472098,0,1032098,181495,166283,487728,A
7164957,5032080,1882836,104550,178964,8964,156492,261042,30613,4447181,1708654,223368,93900,2156675,2198468,1967237,1131407,1016571,1174034,194528,128594,-345990,A
6528082,5899196,491624,86279,46462,46462,50870,137149,10663,1939556,937905,666277,12264,1274077,654901,334929,334929,42827,958379,279147,96055,170806,E
4700929,3437757,952881,225148,24296,24296,56248,281396,39443,2312369,602538,201036,119570,856100,1456269,1508233,884125,624108,1085161,207833,260781,-38337,A
17269248,9132386,4482689,908997,254141,254141,563758,1472755,344212,17155984,9537284,4770110,142605,12355141,4800843,2375524,2375524,1467846,5677788,683007,1076205,1665647,E
4504050,3495742,1366678,150873,112151,112151,-196317,-45444,-336170,4750975,485361,3634528,1210,3149811,1581348,418130,418130,1332381,2720277,1037331,-185372,-868530,E
4922354,3279555,1112289,215840,25034,25034,64757,280597,45285,4158345,1439467,1446867,898,1987527,2156138,1118807,1069375,1283677,1281997,512663,238105,125220,E
26149400,23614712,1300442,552149,112871,112871,540398,1092547,392599,16783306,4278448,3701999,40397,5376231,11377727,7886779,7886779,2028440,9560338,4658281,820172,953326,A
3290063,2626581,515962,45125,87436,87436,98485,143610,13581,2803884,887960,1165002,75269,763630,2037884,750922,717906,630371,1285553,1183901,58706,-8063,E
1994766,685206,672356,735111,1917,1917,176340,911451,175458,2687811,541278,315765,9313,471249,2142685,490897,490897,0,806662,34612,910569,1176158,A
1732008,918532,588059,150653,27129,27129,58800,209453,31729,2587780,1357990,953852,6385,2283043,304737,219562,219562,828852,344562,78384,179168,74605,E
13492242,12048683,1106973,220246,122187,122187,87386,307632,-19384,9004959,3020658,2339568,2623,4794072,4201805,3013982,2950982,253162,5290550,37205,200567,-187404,E
166734992,114318000,12933000,4574000,8505000,0,21208000,25782000,9751000,235530000,85110000,116924000,4806000,97846000,137684000,27150000,27140000,107399000,40367000,9689000,9751000,14468000,A
2904549,1349962,999904,17856,32538,32538,548585,566441,436783,4547736,3451198,733334,24305,3758394,788759,255645,255645,366668,622311,257247,452184,320802,A
1029779,598940,473546,223453,203823,0,193887,417340,55631,7958244,7490719,556,3624629,949240,7009004,176648,176648,0,177204,750337,279084,2327104,A
71615440,68707856,2041815,550384,300327,300327,292047,842431,231415,25015678,7621415,8210098,269669,10639961,14351838,9171931,9171931,6084633,11297396,3088244,756171,-276148,E
8817549,7854278,582055,104868,75935,75935,269142,374010,155277,3618992,851023,1376638,33624,434452,3173616,1391138,1391138,677297,2090479,707400,251294,282897,A
49082544,37989976,6750860,640532,3754,3754,1912063,2552595,1238510,14366541,7873562,0,546239,1265763,13100778,4725755,4725755,0,4725755,6106922,1859844,4369582,A
2003150,1269410,430573,93218,194873,194873,199674,292892,4307,3652715,375960,2920340,15924,3132158,508086,355715,355715,2273187,1002868,154841,96917,33781,E
15617938,8849634,4502930,1580410,511085,509359,1140197,2720607,706340,18065510,5854267,9597548,533141,12773115,5269201,1524249,1524249,8791274,3032893,2298786,2211025,2847227,A
5023790,3665788,1623698,54425,21966,21966,-375413,-320988,-368266,4022448,1164613,675917,515777,153961,3804531,1788471,1788471,0,2464388,0,-316602,-1928408,E
9006080,7265270,1054106,27550,2170,1105,658915,686465,546221,3069116,578140,0,1068217,81622,2973526,1824383,1824383,0,1824383,0,573771,976587,A
4002398,3161596,311067,270308,37958,37958,340203,610511,309990,2720561,1185801,394455,168855,1718499,961486,1106645,546597,872216,628884,0,580278,646070,A
3515817,1691504,785879,410301,56762,33138,650934,1061235,507617,3315974,1034623,976283,68285,2000008,1315966,1130570,1130570,380791,1726062,159354,821263,474905,A
22139166,16509569,2628459,1188686,246432,0,1636089,2824775,1165380,18958814,6900050,9200000,430892,12345915,6612899,2683144,2683144,8264737,3643144,2464109,1165380,1647894,A
6065443,5333295,703359,110533,26892,26892,-71983,38550,-90236,4854396,199787,2040108,169726,2216711,2618390,2595036,2595036,3407,4631737,263319,-3876,-591010,E
4109438,3346467,628760,182067,160115,160115,161405,343472,11141,4561827,1707244,1532176,1877,3392232,1165916,1255877,1255877,16799,2771254,632256,193208,316100,E
24093024,11947428,8116824,3476398,1274439,0,258259,3734657,-2935599,70392056,39004380,27371558,2124900,60199808,9882562,2821928,2778014,27326196,2867290,892676,540799,280954,E
4254011,3278135,1154189,153100,11752,11752,48115,201215,55686,3143372,142767,214938,2878,515273,2626099,2401243,2401243,177483,2438698,0,208786,298877,E
3986339,1854286,953407,294660,1074746,1074746,1018262,1312922,12367,21742360,4076914,15575352,12701,6004410,15609565,2064779,2064779,5653899,11986232,13912296,307027,440863,E
1858000,3455000,1699000,2038000,28421000,8691000,-155000,1883000,-11381000,248316992,15117000,226810992,227000,227374000,20886000,5349000,5349000,231000,232144992,0,-11257000,-15905000,E
18199448,15682922,1602863,2178558,178081,178081,-1626014,552544,-1545010,20163570,2592938,7462518,54688,6537344,13615795,9450150,4972065,10501192,6411476,2177498,-738282,-5699803,E
166532208,106373000,43879460,9541546,11416167,6341769,4822959,14364505,-3542814,293927264,103353016,145696304,1710098,188035728,105891528,36726500,36461312,128892624,53530184,60384540,5623944,95127,E
5091481,3671857,907345,77565,79624,79624,101286,178851,75847,8816393,107637,4000000,634628,1614977,7201416,4422320,4422320,4000000,4422320,4399,106896,172572,E
10100813,3931444,4169172,626288,80359,80359,1306314,1932602,1184414,15893418,10926382,1772917,157927,8732394,7132156,3170766,3165349,1203334,3740349,7530,1521013,2465263,A
14420034,8293465,4415127,569350,80267,11241,78409,647759,53907,9697968,3549909,299312,152272,2794212,6736581,4497789,4497789,0,4797101,832930,391402,-554105,A
8398484,5181646,1977810,675396,135997,135997,425171,1100567,452237,8825956,3899182,3309671,210508,2790230,6035726,1379573,1379573,2916086,1773158,755571,1103982,1224714,A
1855498,694067,957008,116351,655543,655543,82231,198582,-586899,2326310,-258036,2084360,2695,1895730,410168,499607,499607,1974449,609518,0,-506618,-440205,E
5693607,5137211,475960,66523,46988,46988,1303,67826,59306,1865149,592740,1010396,8024,889708,959239,262013,262013,659563,612846,694251,125829,191604,E
12018274,10234377,1103985,85515,14815,14815,572670,658185,458915,6031848,5264215,0,1839231,186972,5838807,701623,701623,0,701623,1677226,508412,1079453,A
61916000,32401000,21282000,10734000,2476000,2473000,-2474000,8260000,670000,162526992,93484000,46848000,411000,145828000,15930000,8448000,8448000,43594000,11702000,687000,10763000,10873000,E
1373294,1155644,215343,96515,68834,68834,-49131,47384,-86715,3851031,451230,2114028,208,3710480,137083,1275061,1275061,714487,2674602,27166,-55617,1438222,E
3134701,1104606,927287,251122,110927,110927,39467,290589,-67905,4058283,746791,2027324,179664,3771919,286127,1284168,1284168,1723324,1588168,30813,151972,330056,E
6240506,5047493,775581,104369,5373,5373,308010,412379,295015,3531256,1747214,83332,179194,1009074,2512143,1661945,1639544,105733,1639544,406578,378201,200550,A
167241344,165616496,1170110,212915,3819971,0,409236,622151,-2202476,45547696,15371581,17650658,429504,30538202,2540040,6612922,6603988,15958934,8304646,0,-2009817,-3402488,E
2011385,1553636,282241,107526,63112,63112,68308,175834,5566,2486907,1083951,1069749,4142,2143571,343336,333207,333207,1069749,333207,43672,113092,211271,E
4867412,3776501,937963,375109,20359,20359,127115,502224,100907,4100874,2621053,322618,42715,2415142,1685732,1157203,1157203,75289,1404532,53266,476016,664307,A
4842176,3929428,335523,74843,34831,34831,475906,550749,380037,3098222,1795189,1043601,1022384,667281,2422648,144784,144784,205071,983314,518720,445606,301073,A
2446375,2009120,471285,72553,28204,28204,-111023,-38470,-113458,2614762,866697,798924,36305,1613060,1001702,949141,949141,690204,1057861,487214,-61875,120994,E
11227930,7650980,1269195,1440374,67177,67177,842041,2282415,834558,20341090,18024760,1336297,1185079,17800372,2532174,377111,377111,1175309,538099,26922,2274480,2189969,A
27241374,25386414,1075860,277509,212683,209099,513366,790875,307275,9389734,1424958,3735980,90841,4141465,4813512,4226746,4226746,0,7962726,0,544589,1639490,E
5631918,5149518,317224,54088,84578,84578,102499,156587,23386,4604858,531298,1661999,46401,1742425,2850179,2357406,2357406,1258249,2761156,1093026,77474,273480,E
3417800,2490256,987336,826791,184191,184191,-239157,587634,-168661,8570272,2774845,2528479,19319,2350764,6196461,3001999,3001999,889900,4640578,816357,234890,748602,E
3198670,1458016,1158128,487879,40743,34654,-240712,247167,-290773,1576530,478808,606789,360449,141778,1420116,155932,155932,0,762721,312310,-230192,-358203,E
1697493,780021,516846,464319,70007,70007,79519,543838,8294,2141658,595039,1143455,830,1855858,264008,403164,403164,957559,589060,0,472613,449976,E
5179325,4622996,386590,164529,20847,20847,41031,205560,40929,2666782,524409,1614441,154273,1859868,806914,527932,527932,1614441,527932,403946,204116,159203,E
2229701,1672514,475574,66972,89824,89824,29547,96519,-59903,3376628,588372,1857253,10801,1671163,1697406,931003,931003,934312,1853944,1044472,5381,-101635,E
6086919,4912799,358768,515828,153299,153299,200939,716767,71844,9739328,1903544,4105160,20298,2601389,7137670,3427178,3427178,3301163,4231175,125038,427044,56670,E
2278973,810926,1300865,54676,310722,16478,296705,351381,21858,3445893,2469145,279834,833159,1339212,1996711,600593,600593,105000,775427,55537,56186,-269481,A
14278318,12400281,1178821,403787,79915,79915,319006,722793,257452,5511976,2380474,1736918,123334,1915606,3591559,1349891,1349891,426141,2660668,869490,566508,428885,A
3325909,2985576,722346,792815,756518,152653,-1353008,-560193,-2103978,6458712,-661613,2261119,19687,4321501,2137211,4805593,2358454,3910225,3156487,468926,-1830960,-2075520,E
61504624,58328824,744260,154547,121607,121607,2255147,2409694,1783569,17130922,9939597,2840928,260022,451593,16091987,3403814,3403814,2170,6242572,5188897,1842460,-948459,A
5969793,3882100,1541569,1026720,58763,58763,-482218,544502,-543782,15231777,9872068,3942829,102813,14483487,705556,932437,932437,25736,4855266,368896,471358,428455,E
3274620,700938,1673801,73999,58319,1972,876481,950480,881702,5009594,3992049,0,1319768,239401,4768415,236589,236589,0,236589,0,955701,787182,A
11077894,9483327,1412985,306610,64151,64151,-122122,184488,-150960,8974195,2950876,3205994,42451,5042363,3866580,2770862,2770862,1666612,4310244,1628580,24705,-1148212,E
7899973,7303484,396812,40893,7495,7495,181443,222336,144386,2429786,2238696,0,58445,886708,1542422,191090,191090,0,191090,894124,185279,114062,A
20564992,15630738,4118676,578257,79608,79608,1053885,1632142,900770,13677190,6112179,3500000,625885,2419358,11247307,2898679,2898679,1600000,4798679,4909946,1479027,-894174,A
5293733,4206207,330920,280711,32484,32484,475750,756461,379406,5136381,3641019,1068892,518217,1649177,3469347,426470,426470,888499,606863,1639952,622842,272035,A
3749929,2780602,590131,131945,63300,63300,253084,385029,186764,3861293,1668892,1197087,43656,1303446,2540726,995314,995314,1005521,1186880,817593,318709,372888,A
15424608,9274508,4149638,874364,588386,588386,1086695,1961059,470819,22304336,3934548,12552277,249657,13154345,9104133,3627757,3627757,11800000,4380034,2827924,1328506,437333,E
45560956,2257409,39795588,150177,820,820,1337954,1488131,1119234,11308311,6064087,330,963188,644767,10648311,4662481,4662481,180,4662631,0,1231960,2045267,A
368700128,319911200,31329740,24256536,9288626,0,619216,24875752,-4335319,439226112,155553552,160934352,15081811,279091648,159777392,117750880,117596792,103186920,175498304,54579944,19921218,17479392,E
12528557,11728337,355347,46361,11889,11889,391610,437971,330871,3521022,1548412,0,630491,359586,3157013,1939101,1939101,1676,1939101,2073313,371706,708411,A
11599052,10573720,1964185,20917,7369,7369,34689,55606,34295,5340145,940430,0,3558,29843,5301185,3492064,3492064,0,3492064,1941394,55212,-229909,E
13902751,13038076,516060,14740,113433,0,300534,315274,286063,9404117,944369,412643,1065987,155018,9249099,7975479,7975479,0,8388122,96823,300803,3380057,E
11563125,6683019,5405201,1974566,265807,253726,1317912,3292478,978246,16390579,6047880,6552946,3141191,10772358,5613880,1950672,1461453,4697936,3805682,120801,2921630,2721795,A
137808464,107718456,13777796,7461187,1677495,1677495,11697277,19158464,9705862,90680776,23961808,46347796,13480316,53978664,34764512,13664501,13664501,29022304,30989990,10316766,16937596,2710475,A
5303790,5175225,231483,62306,101402,101402,-10055,52251,-89362,4739384,1147291,3296264,12570,3414394,1280599,103466,99042,2098366,1489457,877686,-27718,50246,E
4080429,3663031,278026,258066,47674,47674,-120385,137681,-167616,2077989,666325,573310,442,27274,2050715,833554,833554,195240,1211624,930974,-154049,-140546,E
4911451,2393191,2695355,93910,19,19,-291707,-197797,-270360,2059314,469078,0,236577,173471,1885434,1575485,1575485,0,1575485,33103,-200186,137188,E
5573480,3591140,1408325,302787,163365,163365,209329,512116,42849,6649772,2356286,2064051,19888,2792359,2196214,2184620,2184620,683267,3565404,72920,345636,-31867,E
21241352,14299050,5791726,762852,99675,99675,197122,959974,58588,12928123,2058476,5049743,637980,7680821,5237350,5099457,5099457,4005757,6143443,132646,296584,522114,E
79176872,62371684,11399310,13872545,6765327,2525291,-8534279,5338266,-17905534,72339176,-656531,44826224,86857,49389888,20721246,21917128,21917128,3306546,64992104,4526468,-12953923,3463502,E
2435931,1844581,361413,179350,20089,20089,-2659,176691,-17144,6619956,6022214,0,258001,4500938,2113225,597742,465002,132740,465002,986416,162206,175695,A
11853299,7700750,2882239,555862,260299,260299,403011,958873,143739,15451873,3263156,5025905,3365,6053173,9374618,6653111,6653111,687432,10991584,6272184,699601,1279683,E
45444464,19048142,21662304,4670354,760013,760013,345237,5015591,56574,37735536,12033043,16145928,397553,32463290,5110223,4594001,4578850,6407667,14332262,404874,4712630,4423320,A
115856592,36903200,43459944,15989010,11280117,5624167,2303047,18292056,-1717275,176510848,41060180,98921480,11176132,156071632,15478563,20998852,20940154,24901472,95019720,1055566,13774691,16982754,E
5369089,5054758,272421,14752,51751,48673,26825,41577,8151,1987581,276350,515934,1399,115412,1868141,1195220,1195220,132333,1578821,912556,22903,-40986,E
4742009,3312690,901232,239647,34532,34532,276575,516222,203933,3385994,860807,748975,219480,1357585,2024629,1021455,973222,797208,973222,6818,331699,466172,A
6186648,5001789,1040208,41510,17377,17377,36794,78304,18063,3070496,2150541,0,8957,41832,3019044,896526,896526,0,896526,1142389,43958,108487,A
36966304,19695908,4150409,255228,18349,18349,11879660,12134888,10603552,23176082,20147890,0,1010546,14431497,8699404,1966933,1966933,0,1966933,555055,10803734,11291764,A
8459015,7620828,288402,103366,76522,76522,444519,547885,326660,4797383,2770628,1130127,265129,2180596,2610074,896628,896628,746348,1280407,1310586,414755,631634,A
8823574,6065879,1548748,524799,149593,149593,808695,1333494,565305,9540741,4080902,4516999,201592,7253050,2284651,941292,941292,4037977,1420314,1162872,1090104,1118433,A
2248927,1846246,424577,621631,194048,194048,-942911,-321280,-1136007,7531360,682847,5000001,27842,6769631,738535,1753140,1753140,3031117,3722024,472069,-692889,-78568,E
8700746,7055194,951994,453890,412167,412167,245286,699176,593295,13689404,2851205,7414543,121140,11141239,2545111,3353379,2887999,4490500,6277422,224078,1039791,802418,E
40941596,38421356,1700069,2240796,522345,522345,-1942583,298213,-1958495,27226174,6255309,9857500,164539,13335534,13851872,10861328,10861328,2896296,17825150,4209898,-1554702,-642327,E
1611747,1309352,268838,62596,1201,727,-21878,40718,31688,2694571,2250811,16795,574,442292,2242097,280448,280448,10097,287146,376873,87211,89972,E
3187156,2871744,380606,16398,3164,3164,-77655,-61257,11263,4475958,2140880,190000,232217,2244604,2231354,2077075,774919,1302156,964919,404565,22141,359717,E
6064274,5338804,515407,87411,34554,34554,134059,221470,118869,2958093,673311,515601,9221,1056656,1899095,1767848,1767848,263480,2019969,395409,206280,164506,A
4087071,2260970,1371518,373527,38615,38615,46427,419954,63284,41253124,-4672613,41614352,27454,38221196,3026456,2984550,2984550,10276494,35260360,84728,431159,2316185,E
16748643,14787590,1806657,101290,575,575,78209,179499,59953,5931909,1033256,0,590454,117015,5646371,4809472,4809472,0,4809472,0,123084,-381009,E
15009235,10341132,3278368,931629,143618,143618,517177,1448806,397188,12848900,4056412,5148229,55486,6717216,6120610,3388736,3345351,2936892,5786947,1549065,1321664,962769,A
4544276,2754432,733307,516041,67668,67668,558382,1074423,480663,6228768,2760173,2219059,58060,3946117,2242991,1131691,1131691,1349754,2000996,412163,971305,728230,A
6369930,4762897,1830351,155761,9453,9453,-125151,30610,4409,2980080,184971,573362,218457,1104769,1873283,1803922,1803922,511402,1865882,48239,105848,5694,E
4306572,3207252,941731,106456,29914,29914,57480,163936,29671,1835175,477597,242546,4903,701106,1092358,919210,868551,51572,1110184,34660,115554,264173,E
99466736,64223676,12676073,10445884,24605082,5419380,14033760,24479644,-4060821,189231616,74052976,97752176,1519134,100813496,87885288,14455633,14455633,10541216,101666592,7481462,6266457,3588025,E
188285312,140213648,34227756,5685862,4132980,0,10040070,15725932,8130861,134451600,44362420,49093972,851196,57414872,76438512,34890452,34831576,40585132,43399292,27759672,13816723,8935913,A
6642775,5814523,890187,287033,171415,171415,561053,848086,413855,10625775,4723607,2724518,381783,6575246,4048607,2673281,2113211,2579927,2817872,2065539,700888,452434,A
3641404,2932384,514297,189978,8692,8692,10136,200114,215945,5192368,3965793,90164,76534,922904,4269464,1121842,1121842,0,1212006,52798,404712,487902,A
5755531,4876380,1107971,67599,3521,3521,-394434,-326835,-379802,2975396,377170,684155,244643,1634704,1187716,1760591,1760591,563214,1881532,7902,-312203,-197568,E
6388679,4415822,1725808,146323,115976,115976,-726963,-580640,-838882,4472407,1002967,1796084,16663,1595119,2874868,1477854,1477854,720199,2553739,2194119,-708938,224170,E
4178318,3742255,1015334,229396,8091,8091,-802459,-573063,-727205,4023069,1075743,0,23993,2453305,1313054,2869654,2629916,239738,2629916,143991,-497896,1323298,E
24680062,19139612,4037142,603737,68204,68204,719366,1323103,648331,10347906,2625929,1810685,1642909,2255584,7930473,5376892,5376148,726191,6461386,1930064,1220711,1172390,A
32586178,22234922,5994429,2073657,288996,258079,2550568,4624225,2349199,28271310,11697585,11350036,80276,19246482,8886713,3776999,3776999,8867982,6259053,2299179,4422856,4436620,A
509149792,457052128,44705280,5940661,54740556,4309958,1472124,7412785,-48991708,281361472,39351704,101721200,6964930,179654416,99573920,132458360,132455192,94666480,139619168,39621340,-44436884,-42462508,E
114678120,49109856,54207000,22612524,14913106,0,-17815568,4796956,-37178520,184874656,74403376,53493076,66347,157801488,27068414,23670882,23661674,16802958,60361000,9586018,-37178520,-25334598,E
4544509,2711287,1407212,210090,1127,1127,198267,408357,175016,3272564,2208272,194409,72970,1482659,1787726,832992,832992,160599,866802,57140,361174,371646,A
15947018,12271505,3258143,1668118,138370,138370,229145,1897263,399892,9837725,2699780,2466556,128591,2929494,6907448,2714836,2714836,1693667,3487725,2265049,1955629,661114,A
