@relation 'condInd-weka.filters.unsupervised.attribute.Reorder-R2-last,1'

@attribute I60 {0,1}
@attribute I70 {0,1}
@attribute I80 {0,1}
@attribute I90 {0,1}
@attribute R1 {0,1}
@attribute R2 {0,1}
@attribute R3 {0,1}
@attribute R4 {0,1}
@attribute class {0,1}

@data
0, 0, 0, 0, 1, 1, 1, 1, 0
0, 0, 0, 0, 0, 1, 1, 1, 0
0, 0, 0, 0, 1, 0, 1, 0, 0
1, 0, 0, 1, 1, 1, 1, 1, 1
1, 0, 1, 1, 1, 1, 1, 0, 1
1, 1, 1, 1, 0, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 1, 1, 1, 0, 1
0, 0, 0, 0, 0, 1, 1, 0, 0
1, 1, 0, 0, 0, 0, 0, 1, 1
0, 1, 1, 1, 0, 0, 1, 0, 1
1, 0, 1, 0, 1, 1, 1, 0, 1
0, 1, 1, 1, 1, 0, 0, 1, 1
1, 1, 1, 1, 0, 1, 0, 1, 1
0, 0, 1, 1, 0, 1, 1, 1, 1
0, 0, 0, 0, 0, 1, 1, 1, 0
0, 1, 0, 0, 0, 1, 0, 1, 0
1, 1, 1, 1, 0, 1, 0, 1, 1
0, 0, 1, 0, 1, 1, 0, 1, 0
0, 1, 1, 1, 0, 0, 0, 1, 1
1, 1, 1, 1, 0, 0, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 1, 0, 0, 1, 1, 0, 0
0, 1, 0, 0, 1, 0, 1, 1, 0
1, 0, 1, 1, 1, 1, 0, 1, 1
0, 1, 0, 0, 1, 1, 1, 0, 0
0, 1, 1, 1, 0, 0, 0, 0, 1
1, 1, 1, 1, 0, 1, 0, 1, 1
1, 1, 0, 1, 1, 1, 1, 0, 1
0, 0, 0, 0, 0, 0, 1, 0, 0
1, 1, 0, 1, 0, 0, 1, 1, 1
1, 1, 1, 0, 0, 0, 1, 1, 1
1, 1, 1, 1, 1, 1, 0, 1, 1
0, 0, 0, 0, 1, 0, 1, 1, 0
0, 1, 0, 1, 1, 1, 0, 1, 0
1, 0, 0, 0, 0, 1, 1, 0, 0
1, 1, 1, 1, 0, 0, 0, 1, 1
0, 0, 1, 1, 1, 0, 1, 1, 1
0, 1, 1, 0, 0, 0, 0, 1, 0
1, 1, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 1, 1, 0, 1, 0
1, 1, 1, 1, 0, 1, 1, 0, 1
1, 0, 1, 1, 1, 0, 0, 0, 1
0, 0, 0, 0, 1, 0, 0, 1, 0
0, 0, 0, 0, 0, 1, 1, 1, 0
0, 0, 0, 0, 1, 1, 0, 0, 0
0, 1, 1, 1, 1, 0, 1, 1, 1
1, 1, 0, 1, 1, 0, 0, 1, 1
0, 0, 0, 1, 1, 0, 0, 1, 0
0, 0, 0, 0, 1, 1, 1, 0, 0
0, 1, 1, 1, 0, 0, 0, 1, 1
1, 0, 1, 0, 0, 1, 0, 0, 0
1, 0, 0, 0, 0, 1, 1, 1, 0
1, 0, 1, 1, 1, 1, 1, 0, 1
0, 1, 1, 1, 0, 1, 0, 1, 1
1, 1, 1, 1, 1, 0, 1, 0, 1
0, 0, 0, 1, 0, 1, 0, 0, 0
1, 0, 0, 0, 1, 1, 0, 0, 0
0, 0, 1, 0, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 1, 1, 1, 1, 0
0, 1, 0, 1, 1, 1, 1, 1, 0
1, 1, 0, 1, 1, 0, 0, 1, 1
0, 0, 1, 1, 0, 0, 0, 0, 1
1, 0, 1, 0, 1, 0, 1, 0, 0
1, 1, 0, 0, 1, 1, 0, 0, 0
1, 0, 1, 1, 0, 0, 1, 1, 1
1, 1, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 1, 0, 1, 0, 0
1, 1, 1, 1, 1, 0, 1, 1, 1
0, 0, 0, 0, 1, 1, 0, 1, 0
1, 0, 0, 0, 0, 0, 1, 1, 0
1, 1, 0, 0, 0, 0, 0, 1, 0
1, 1, 1, 1, 1, 1, 1, 0, 1
0, 0, 0, 0, 1, 1, 1, 0, 0
1, 0, 0, 1, 0, 1, 0, 1, 1
1, 1, 1, 1, 0, 0, 1, 1, 1
1, 1, 1, 1, 1, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 1, 1, 1, 1, 1
0, 0, 1, 1, 0, 1, 1, 0, 1
0, 1, 1, 1, 1, 1, 0, 1, 1
0, 0, 0, 0, 0, 1, 1, 1, 0
0, 0, 0, 0, 0, 1, 1, 0, 0
1, 1, 0, 0, 1, 1, 1, 0, 0
0, 0, 1, 1, 0, 1, 0, 0, 1
0, 1, 0, 0, 0, 0, 1, 1, 0
0, 0, 1, 1, 1, 1, 1, 1, 1
0, 1, 0, 0, 1, 0, 1, 1, 0
0, 0, 1, 0, 0, 1, 1, 0, 1
0, 1, 1, 1, 0, 1, 1, 0, 1
0, 0, 0, 0, 0, 1, 1, 0, 0
0, 1, 1, 1, 0, 1, 1, 0, 1
0, 0, 1, 0, 0, 1, 0, 0, 0
1, 0, 1, 1, 0, 0, 1, 1, 1
0, 1, 0, 0, 1, 0, 0, 0, 0
0, 1, 0, 1, 1, 1, 0, 1, 1
1, 1, 0, 0, 0, 1, 0, 0, 0
0, 0, 1, 0, 1, 1, 1, 1, 0
1, 0, 0, 1, 1, 1, 1, 1, 0
0, 0, 1, 1, 0, 0, 1, 1, 1
1, 1, 1, 0, 1, 1, 1, 0, 1
0, 1, 0, 1, 1, 0, 0, 0, 1
0, 1, 1, 0, 1, 0, 0, 0, 1
1, 1, 1, 1, 1, 0, 0, 0, 1
0, 0, 1, 0, 0, 0, 0, 0, 0
1, 0, 1, 1, 1, 1, 1, 0, 1
1, 0, 0, 0, 0, 1, 0, 1, 0
1, 0, 0, 1, 0, 1, 1, 1, 0
1, 0, 0, 1, 0, 0, 1, 0, 1
1, 1, 1, 1, 1, 1, 0, 1, 1
0, 1, 1, 0, 0, 0, 1, 0, 1
0, 0, 1, 0, 1, 0, 1, 0, 0
1, 1, 1, 1, 1, 1, 0, 0, 1
0, 0, 0, 0, 1, 1, 1, 1, 0
0, 1, 1, 0, 0, 1, 0, 1, 0
0, 1, 1, 1, 1, 1, 0, 0, 0
0, 0, 0, 0, 0, 1, 0, 0, 0
1, 0, 1, 1, 0, 0, 1, 1, 1
1, 1, 1, 1, 1, 0, 0, 1, 1
0, 0, 1, 0, 0, 0, 0, 1, 0
1, 0, 0, 0, 0, 1, 1, 1, 0
0, 0, 0, 1, 0, 1, 0, 1, 0
1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 1, 1, 0
0, 0, 1, 1, 0, 1, 1, 1, 1
1, 1, 0, 1, 1, 0, 0, 1, 0
1, 1, 1, 1, 1, 0, 0, 0, 1
0, 1, 1, 1, 0, 0, 1, 1, 1
1, 1, 1, 1, 0, 1, 0, 0, 1
1, 1, 1, 0, 0, 1, 0, 0, 1
0, 1, 1, 1, 1, 0, 1, 0, 1
0, 0, 1, 0, 0, 1, 1, 0, 0
0, 0, 1, 0, 1, 1, 0, 0, 0
0, 0, 1, 0, 1, 1, 0, 1, 0
0, 1, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 1, 0, 0, 1, 0, 0
0, 0, 0, 0, 1, 1, 1, 1, 0
1, 1, 1, 1, 1, 1, 0, 1, 1
1, 1, 0, 0, 0, 0, 1, 0, 0
1, 0, 1, 1, 0, 1, 0, 0, 1
0, 0, 1, 0, 1, 1, 1, 0, 0
1, 1, 0, 1, 1, 0, 0, 1, 1
1, 0, 0, 0, 0, 0, 1, 0, 0
1, 1, 0, 0, 0, 1, 1, 1, 0
1, 1, 1, 1, 1, 0, 0, 0, 1
0, 1, 1, 1, 1, 0, 1, 0, 1
1, 0, 0, 0, 1, 0, 1, 1, 0
1, 0, 0, 0, 0, 1, 1, 1, 0
1, 1, 1, 1, 0, 1, 0, 0, 1
1, 1, 1, 1, 0, 1, 0, 1, 1
1, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 0, 1, 1, 0, 1, 0
1, 1, 1, 1, 0, 1, 0, 0, 1
1, 1, 1, 1, 0, 1, 0, 0, 1
1, 1, 0, 1, 1, 1, 1, 1, 1
0, 1, 0, 0, 0, 1, 1, 0, 0
0, 0, 1, 0, 1, 1, 0, 1, 0
1, 0, 0, 0, 0, 1, 0, 0, 0
1, 1, 0, 0, 0, 1, 0, 1, 0
0, 0, 0, 0, 1, 1, 1, 1, 0
1, 0, 1, 1, 0, 0, 1, 1, 1
0, 1, 1, 0, 1, 0, 1, 0, 0
1, 1, 0, 1, 0, 0, 1, 1, 1
1, 0, 0, 0, 0, 0, 1, 1, 0
1, 1, 1, 1, 0, 0, 0, 0, 1
1, 1, 0, 0, 1, 1, 1, 1, 0
0, 1, 0, 0, 1, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 1, 1, 0
0, 0, 0, 0, 0, 1, 1, 0, 0
0, 1, 1, 1, 1, 1, 0, 0, 1
1, 1, 1, 1, 0, 1, 0, 0, 1
1, 1, 1, 1, 1, 0, 1, 1, 1
0, 0, 1, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 0, 1, 1, 1, 0
0, 1, 0, 0, 0, 1, 1, 1, 0
1, 0, 0, 1, 1, 0, 0, 0, 1
1, 1, 1, 1, 0, 0, 0, 1, 1
0, 1, 1, 1, 1, 1, 1, 1, 1
0, 1, 1, 0, 1, 1, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 1, 1, 0
1, 1, 1, 1, 1, 1, 1, 0, 1
1, 0, 0, 0, 0, 0, 1, 0, 0
0, 0, 1, 0, 1, 0, 0, 1, 0
0, 1, 1, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 1, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 1, 0, 1, 0
1, 0, 0, 0, 0, 1, 1, 0, 0
1, 0, 0, 1, 1, 0, 1, 1, 1
1, 1, 1, 0, 0, 1, 0, 1, 1
1, 0, 1, 1, 1, 0, 0, 0, 1
1, 1, 1, 1, 0, 0, 0, 0, 1
0, 1, 1, 1, 0, 1, 0, 0, 1
1, 1, 0, 0, 1, 1, 1, 0, 0
1, 0, 0, 0, 1, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 1, 1, 0
1, 1, 1, 1, 0, 0, 0, 1, 1
0, 1, 0, 0, 1, 0, 0, 0, 0
0, 0, 1, 1, 1, 0, 0, 1, 1
1, 1, 1, 1, 1, 0, 0, 0, 1
1, 1, 1, 0, 1, 0, 0, 0, 0
1, 1, 1, 1, 1, 0, 0, 0, 1
1, 1, 1, 1, 1, 0, 0, 1, 1
0, 1, 1, 0, 1, 1, 1, 0, 0
1, 0, 0, 0, 1, 0, 1, 1, 0
0, 0, 0, 1, 1, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 1, 1, 1
0, 1, 1, 1, 1, 1, 1, 1, 1
0, 0, 1, 1, 0, 0, 0, 0, 1
1, 1, 1, 1, 0, 0, 0, 0, 1
0, 1, 1, 1, 0, 0, 0, 0, 1
1, 0, 1, 1, 0, 0, 1, 1, 1
0, 0, 1, 0, 1, 0, 0, 1, 0
0, 0, 0, 0, 0, 1, 1, 1, 0
1, 1, 0, 0, 1, 0, 0, 1, 1
1, 0, 1, 0, 1, 0, 0, 1, 0
1, 1, 1, 0, 1, 0, 1, 0, 1
0, 0, 1, 0, 1, 0, 1, 0, 0
1, 0, 1, 1, 1, 0, 1, 1, 1
1, 0, 0, 0, 1, 0, 0, 0, 0
0, 1, 0, 1, 0, 0, 1, 0, 1
1, 1, 1, 1, 0, 1, 0, 1, 1
1, 1, 0, 0, 0, 1, 0, 0, 0
0, 0, 1, 1, 1, 0, 0, 1, 1
0, 0, 0, 0, 1, 1, 1, 1, 0
1, 1, 1, 1, 0, 1, 0, 1, 1
0, 0, 1, 0, 1, 1, 1, 1, 0
1, 0, 1, 1, 0, 0, 0, 1, 1
0, 0, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 1, 1, 1, 1, 0
0, 1, 0, 0, 0, 1, 1, 1, 0
1, 1, 1, 1, 1, 0, 0, 0, 1
0, 1, 1, 1, 1, 0, 0, 1, 1
0, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 1, 0, 1, 0
0, 0, 1, 0, 1, 0, 0, 0, 0
1, 1, 1, 0, 1, 1, 0, 1, 1
0, 0, 1, 0, 1, 1, 1, 1, 0
1, 1, 1, 1, 0, 1, 1, 0, 1
0, 0, 1, 1, 0, 0, 1, 1, 1
0, 0, 0, 1, 0, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 1, 0, 0
0, 0, 0, 0, 1, 0, 0, 0, 0
1, 1, 1, 1, 0, 1, 1, 0, 1
1, 1, 1, 1, 0, 0, 0, 0, 1
1, 1, 1, 1, 0, 0, 1, 1, 1
1, 0, 0, 1, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 1, 1, 0
1, 1, 0, 1, 0, 1, 1, 1, 1
1, 1, 0, 0, 1, 1, 1, 1, 1
1, 1, 0, 0, 1, 0, 1, 1, 0
0, 0, 0, 0, 1, 1, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0
1, 0, 0, 0, 0, 0, 1, 1, 0
0, 1, 0, 0, 0, 1, 0, 0, 0
0, 1, 0, 0, 0, 0, 0, 0, 1
1, 1, 1, 1, 1, 0, 1, 1, 1
0, 0, 0, 0, 1, 0, 0, 1, 0
1, 1, 1, 1, 0, 1, 1, 0, 1
1, 1, 1, 0, 0, 1, 1, 1, 1
0, 1, 0, 0, 0, 1, 0, 0, 0
0, 0, 1, 1, 1, 0, 0, 1, 1
1, 0, 0, 0, 1, 0, 1, 1, 0
0, 1, 1, 1, 0, 1, 0, 1, 1
0, 0, 1, 0, 1, 1, 0, 1, 0
1, 1, 1, 1, 0, 0, 1, 0, 1
1, 0, 1, 1, 1, 1, 0, 1, 1
1, 1, 1, 0, 1, 1, 1, 1, 1
1, 1, 0, 1, 1, 1, 0, 1, 1
1, 0, 0, 0, 0, 1, 1, 0, 0
1, 0, 0, 1, 1, 0, 0, 0, 1
0, 1, 0, 0, 1, 0, 1, 0, 0
1, 1, 1, 1, 0, 0, 1, 0, 1
1, 1, 1, 1, 0, 1, 1, 0, 1
1, 0, 1, 0, 0, 0, 0, 1, 0
1, 1, 1, 1, 1, 1, 0, 0, 1
0, 0, 0, 0, 1, 1, 0, 1, 0
1, 1, 1, 1, 1, 0, 1, 0, 1
0, 0, 1, 1, 0, 1, 1, 0, 1
0, 0, 1, 1, 1, 1, 1, 1, 1
1, 1, 0, 1, 1, 1, 0, 0, 1
1, 0, 1, 0, 1, 0, 1, 0, 0
0, 0, 1, 1, 1, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 1, 0, 1, 1, 1, 0, 0
0, 1, 1, 1, 0, 0, 0, 1, 1
1, 1, 1, 1, 0, 0, 1, 0, 1
0, 1, 1, 1, 0, 1, 0, 1, 1
1, 0, 0, 0, 1, 0, 1, 1, 0
1, 1, 0, 1, 0, 1, 1, 0, 1
1, 1, 0, 0, 1, 0, 1, 1, 0
1, 0, 0, 0, 1, 0, 1, 1, 0
1, 0, 1, 1, 0, 1, 0, 1, 1
1, 0, 1, 0, 0, 0, 1, 1, 0
1, 0, 1, 0, 0, 0, 1, 1, 0
0, 1, 1, 1, 1, 1, 0, 0, 1
0, 0, 1, 1, 1, 0, 1, 1, 1
0, 1, 0, 1, 1, 1, 0, 0, 1
0, 0, 0, 0, 1, 0, 0, 0, 0
1, 1, 1, 1, 1, 1, 1, 0, 1
0, 1, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 1, 1, 0, 0, 0
1, 1, 1, 1, 0, 1, 1, 1, 1
0, 1, 0, 0, 0, 1, 1, 0, 0
1, 1, 1, 1, 1, 0, 1, 0, 1
1, 0, 0, 1, 0, 0, 0, 1, 1
0, 1, 1, 0, 1, 1, 0, 1, 0
0, 0, 1, 0, 1, 0, 1, 0, 0
0, 0, 1, 1, 0, 1, 0, 1, 1
1, 0, 0, 1, 1, 1, 1, 0, 1
0, 1, 0, 1, 1, 0, 1, 0, 1
1, 1, 1, 1, 0, 1, 1, 0, 1
0, 1, 1, 0, 1, 1, 1, 1, 0
1, 0, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 0, 1, 1, 1
0, 0, 0, 0, 1, 0, 1, 0, 0
0, 1, 1, 1, 0, 1, 0, 1, 1
0, 1, 1, 1, 1, 0, 1, 0, 1
1, 0, 0, 0, 0, 0, 1, 1, 0
1, 0, 0, 0, 1, 0, 1, 0, 0
1, 0, 1, 1, 0, 1, 0, 1, 1
1, 1, 0, 0, 0, 0, 1, 0, 0
0, 1, 1, 0, 1, 0, 1, 1, 0
1, 0, 1, 0, 1, 1, 1, 1, 0
0, 1, 0, 0, 1, 1, 0, 0, 0
1, 1, 0, 1, 0, 1, 0, 0, 1
0, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 1, 1, 1, 1, 0, 0, 1
1, 0, 0, 1, 0, 0, 1, 1, 0
0, 0, 1, 1, 1, 1, 1, 0, 1
0, 1, 0, 0, 1, 0, 0, 1, 0
1, 1, 1, 1, 0, 1, 0, 0, 1
1, 1, 0, 1, 0, 1, 0, 0, 0
1, 1, 1, 1, 1, 1, 0, 0, 1
0, 0, 0, 0, 1, 0, 0, 1, 0
1, 1, 1, 1, 1, 1, 0, 0, 1
0, 0, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 1, 0
1, 0, 1, 1, 0, 1, 1, 0, 1
0, 1, 1, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 1, 1, 0, 0, 0
0, 1, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 1, 1, 0, 1, 0
0, 1, 1, 1, 0, 1, 1, 0, 1
1, 1, 1, 1, 1, 1, 0, 1, 1
0, 0, 1, 1, 1, 0, 0, 1, 1
1, 1, 0, 1, 1, 1, 0, 1, 1
1, 0, 0, 0, 0, 1, 0, 1, 0
1, 1, 0, 1, 0, 0, 0, 1, 1
1, 0, 0, 0, 1, 1, 0, 0, 0
0, 0, 0, 0, 1, 1, 0, 1, 0
0, 0, 0, 0, 0, 1, 0, 1, 0
1, 1, 1, 1, 1, 1, 1, 0, 1
0, 1, 0, 1, 0, 0, 0, 1, 0
0, 1, 0, 0, 1, 1, 0, 0, 0
1, 1, 0, 1, 0, 0, 0, 0, 1
1, 1, 0, 1, 1, 0, 1, 0, 1
1, 1, 0, 0, 0, 0, 1, 1, 0
1, 0, 0, 0, 1, 0, 0, 1, 0
0, 1, 0, 0, 0, 1, 1, 1, 1
0, 1, 0, 1, 0, 1, 1, 0, 1
0, 0, 1, 1, 0, 1, 1, 0, 1
1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 1, 0, 0
1, 1, 1, 1, 0, 0, 0, 0, 1
1, 1, 1, 1, 0, 0, 0, 1, 1
0, 0, 0, 0, 0, 1, 0, 1, 0
0, 0, 1, 1, 0, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 1, 1, 0
0, 1, 0, 0, 1, 0, 1, 0, 0
1, 1, 0, 1, 1, 0, 1, 0, 1
1, 1, 1, 0, 1, 1, 0, 0, 0
0, 1, 1, 1, 0, 1, 0, 0, 1
1, 1, 1, 0, 1, 1, 1, 1, 1
0, 1, 0, 0, 1, 0, 0, 1, 0
0, 1, 1, 0, 0, 1, 1, 1, 0
0, 0, 0, 0, 0, 1, 0, 1, 0
1, 0, 1, 1, 0, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 1, 1, 0, 1
0, 1, 0, 0, 0, 0, 0, 1, 0
1, 0, 1, 1, 1, 1, 1, 1, 1
0, 0, 1, 1, 0, 1, 1, 1, 1
1, 0, 1, 1, 1, 0, 0, 0, 1
