@relation 'Disjunct attributes: if (A1 == 1 v A2 == 1 v A3 == 1) R = 1; else R = 0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NA2 and A3-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 and A2-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 and A3-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 or A3-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 or A2-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 or A3-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 equ A3-L0,1-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 equ A2-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 equ A3-L0,1-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 xor A3-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 xor A2-L0,1-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 xor A3-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 impl A3-L0,1-C18-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 impl A2-L0,1-C19-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 impl A3-L0,1-C20-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 and A2 and A3-L0,1-C21-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 or A2 or A3-L0,1-C22-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A3-L0_x_0,0_x_1,1_x_0,1_x_1-C23-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A2-L0_x_0,0_x_1,1_x_0,1_x_1-C24-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A3-L0_x_0,0_x_1,1_x_0,1_x_1-C25-W1.0'

@attribute A1 {0,1}
@attribute A2 {0,1}
@attribute A3 {0,1}
@attribute A4 {0,1}
@attribute A5 numeric
@attribute 'A2 and A3' {0,1}
@attribute 'A1 and A2' {0,1}
@attribute 'A1 and A3' {0,1}
@attribute 'A2 or A3' {0,1}
@attribute 'A1 or A2' {0,1}
@attribute 'A1 or A3' {0,1}
@attribute 'A2 equ A3' {0,1}
@attribute 'A1 equ A2' {0,1}
@attribute 'A1 equ A3' {0,1}
@attribute 'A2 xor A3' {0,1}
@attribute 'A1 xor A2' {0,1}
@attribute 'A1 xor A3' {0,1}
@attribute 'A2 impl A3' {0,1}
@attribute 'A1 impl A2' {0,1}
@attribute 'A1 impl A3' {0,1}
@attribute 'A1 and A2 and A3' {0,1}
@attribute 'A1 or A2 or A3' {0,1}
@attribute A2_x_A3 {0_x_0,0_x_1,1_x_0,1_x_1}
@attribute A1_x_A2 {0_x_0,0_x_1,1_x_0,1_x_1}
@attribute A1_x_A3 {0_x_0,0_x_1,1_x_0,1_x_1}
@attribute class numeric

@data
0,1,1,0,14.806988,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1_x_1,0_x_1,0_x_1,1
0,0,0,1,10.818079,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
1,1,1,1,15.751813,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
1,0,0,1,31.835428,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
0,0,0,1,23.907279,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
1,1,0,0,82.842028,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
0,1,1,0,58.61789,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1_x_1,0_x_1,0_x_1,1
0,0,1,1,34.327261,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
0,1,1,0,18.095053,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1_x_1,0_x_1,0_x_1,1
1,1,1,1,78.633612,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
0,1,0,0,68.696274,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
1,0,1,0,18.728165,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
0,0,1,1,80.810765,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
0,0,1,0,63.153222,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
0,1,0,0,39.176184,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
1,1,1,0,40.408512,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
1,0,1,0,76.242424,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
1,0,0,0,72.253514,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
0,0,1,1,48.534093,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
1,1,0,1,8.273241,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
0,1,0,0,96.544761,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
0,0,0,0,73.072441,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,0,0,0,8.906353,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,0,1,0,29.622093,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
1,1,1,1,17.061819,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
1,0,0,0,17.65052,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
0,0,1,1,1.675927,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
0,1,0,1,81.271904,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
1,1,1,0,45.224785,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
0,1,1,0,70.904142,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1_x_1,0_x_1,0_x_1,1
1,0,0,0,57.95786,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,0,1,1,31.618001,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
0,0,0,0,90.305649,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,0,1,0,66.328611,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
0,0,1,1,28.272304,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
1,1,0,1,79.853493,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
1,1,1,1,3.983551,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
1,1,0,0,67.936431,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
0,0,0,1,23.456862,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,1,1,1,74.528073,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1_x_1,0_x_1,0_x_1,1
0,0,1,0,44.602606,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
1,1,1,0,1.746213,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
1,1,1,0,8.243773,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
0,0,0,0,63.764202,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,0,0,1,44.530801,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
1,1,0,1,99.526312,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
1,1,1,1,94.32486,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
1,0,1,0,50.532912,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
0,0,0,0,76.21227,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,0,1,0,90.207143,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
0,1,0,1,50.606795,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
1,0,0,1,40.808363,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,1,1,1,42.71337,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
1,0,1,1,30.961634,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
1,0,0,0,85.324032,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
0,1,0,1,50.434945,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
0,1,0,0,62.579321,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
0,0,0,1,26.146192,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
1,0,1,1,77.217403,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
1,1,1,0,22.211794,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
0,1,1,1,14.283645,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1_x_1,0_x_1,0_x_1,1
1,0,0,0,73.218394,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
0,0,0,1,33.756954,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
1,1,0,1,35.889695,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
0,0,0,0,80.784745,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
1,1,0,1,42.501122,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
1,0,0,1,99.459061,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,0,0,1,24.380924,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
0,1,1,0,36.139291,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1_x_1,0_x_1,0_x_1,1
0,1,1,0,32.536391,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1_x_1,0_x_1,0_x_1,1
0,0,1,0,88.05682,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
1,0,0,1,52.0097,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,0,1,0,87.843614,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
1,1,1,1,27.720949,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
0,0,0,0,54.186853,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,0,1,1,72.14075,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
1,0,1,0,60.798279,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
0,1,0,1,81.088021,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
0,0,0,0,70.411041,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
1,1,1,1,54.436448,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
1,0,0,1,91.42839,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
0,0,1,1,6.353979,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
0,0,0,0,98.039817,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,1,0,0,18.329561,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
1,1,1,0,6.987088,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
1,1,0,0,6.1654,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
1,0,0,1,26.45514,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,0,0,1,41.380729,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
0,0,1,1,47.492277,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
0,0,0,1,33.912885,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
1,1,0,1,99.409806,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
0,0,0,1,72.030626,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
1,0,0,0,32.569185,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,0,1,0,23.948155,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
1,1,0,1,80.156206,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
0,0,0,0,23.606557,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,1,0,1,17.222447,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
0,0,0,0,23.759576,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
1,0,1,0,32.736731,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
1,1,0,0,32.706847,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
0,0,0,1,32.395134,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,0,1,0,33.369843,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
1,0,0,0,64.571635,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,0,1,0,85.287372,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
0,0,1,0,17.124477,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
1,0,0,1,81.077359,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,0,0,0,23.735904,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,0,0,0,19.073897,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,0,1,0,15.084987,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
0,0,0,1,31.861485,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,0,0,0,83.689775,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,1,0,1,16.104109,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
1,0,1,0,27.862476,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
1,0,0,0,23.873565,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
0,0,1,0,67.709925,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
0,1,0,1,60.939805,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
1,0,1,0,16.353705,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,1_x_1,1
1,1,0,1,10.494515,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
0,0,0,1,10.429902,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,0,1,0,74.382784,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
1,0,0,1,4.951464,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,1,1,0,26.300313,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
0,0,0,1,38.05868,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,0,0,0,62.980542,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
0,1,1,1,22.301304,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1_x_1,0_x_1,0_x_1,1
1,1,1,1,71.13601,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
1,1,0,0,35.088891,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,1_x_1,1_x_0,1
1,0,0,0,55.378634,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
0,0,1,1,71.76912,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,0_x_0,0_x_1,1
1,1,1,1,59.627239,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
0,1,0,1,79.669881,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
0,1,1,0,71.355719,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1_x_1,0_x_1,0_x_1,1
1,0,0,1,72.33043,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,0,0,0,17.32482,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
0,1,0,0,13.72192,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,0_x_0,1
1,0,0,1,23.564763,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0_x_0,1_x_0,1_x_0,1
1,1,1,1,13.380321,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
0,0,0,1,56.671978,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
