@relation 'Non Linear function: 2*A1^2 - 3*A2^2 - A3 = R-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) and A2==(0.500065-inf)-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500065-inf) and A3==(0.499977-inf)-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) and A3==(0.499977-inf)-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) or A2==(0.500065-inf)-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500065-inf) or A3==(0.499977-inf)-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) or A3==(0.499977-inf)-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) equ A2==(0.500065-inf)-L0,1-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500065-inf) equ A3==(0.499977-inf)-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) equ A3==(0.499977-inf)-L0,1-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) xor A2==(0.500065-inf)-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500065-inf) xor A3==(0.499977-inf)-L0,1-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) xor A3==(0.499977-inf)-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) impl A2==(0.500065-inf)-L0,1-C18-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500065-inf) impl A3==(0.499977-inf)-L0,1-C19-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) impl A3==(0.499977-inf)-L0,1-C20-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) and A2==(0.500065-inf) and A3==(0.499977-inf)-L0,1-C21-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) or A2==(0.500065-inf) or A3==(0.499977-inf)-L0,1-C22-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A2-C23-W1.0-weka.filters.unsupervised.attribute.Add-NA2 ADD A3-C24-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A3-C25-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A2-C26-W1.0-weka.filters.unsupervised.attribute.Add-NA2 SUBTRACT A3-C27-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A3-C28-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A2-C29-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A1-C30-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A3-C31-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A2-C32-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A3-C33-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A1-C34-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A2-C35-W1.0-weka.filters.unsupervised.attribute.Add-NA2 MULTIPLY A3-C36-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A3-C37-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A2-L0,1-C38-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 LESSTHAN A3-L0,1-C39-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A3-L0,1-C40-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A2-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA2 DIFF A3-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A3-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A2-L\'(-inf-0.5]\'_x_\'(-inf-0.500065]\',\'(-inf-0.5]\'_x_\'(0.500065-inf)\',\'(0.5-inf)\'_x_\'(-inf-0.500065]\',\'(0.5-inf)\'_x_\'(0.500065-inf)\'-C41-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A3-L\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\',\'(-inf-0.500065]\'_x_\'(0.499977-inf)\',\'(0.500065-inf)\'_x_\'(-inf-0.499977]\',\'(0.500065-inf)\'_x_\'(0.499977-inf)\'-C42-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A3-L\'(-inf-0.5]\'_x_\'(-inf-0.499977]\',\'(-inf-0.5]\'_x_\'(0.499977-inf)\',\'(0.5-inf)\'_x_\'(-inf-0.499977]\',\'(0.5-inf)\'_x_\'(0.499977-inf)\'-C43-W1.0'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute 'A1==(0.5-inf) and A2==(0.500065-inf)' {0,1}
@attribute 'A2==(0.500065-inf) and A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) and A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) or A2==(0.500065-inf)' {0,1}
@attribute 'A2==(0.500065-inf) or A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) or A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) equ A2==(0.500065-inf)' {0,1}
@attribute 'A2==(0.500065-inf) equ A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) equ A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) xor A2==(0.500065-inf)' {0,1}
@attribute 'A2==(0.500065-inf) xor A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) xor A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) impl A2==(0.500065-inf)' {0,1}
@attribute 'A2==(0.500065-inf) impl A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) impl A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) and A2==(0.500065-inf) and A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) or A2==(0.500065-inf) or A3==(0.499977-inf)' {0,1}
@attribute 'A1 ADD A2' numeric
@attribute 'A2 ADD A3' numeric
@attribute 'A1 ADD A3' numeric
@attribute 'A1 SUBTRACT A2' numeric
@attribute 'A2 SUBTRACT A3' numeric
@attribute 'A1 SUBTRACT A3' numeric
@attribute 'A1 DIVIDE A2' numeric
@attribute 'A2 DIVIDE A1' numeric
@attribute 'A2 DIVIDE A3' numeric
@attribute 'A3 DIVIDE A2' numeric
@attribute 'A1 DIVIDE A3' numeric
@attribute 'A3 DIVIDE A1' numeric
@attribute 'A1 MULTIPLY A2' numeric
@attribute 'A2 MULTIPLY A3' numeric
@attribute 'A1 MULTIPLY A3' numeric
@attribute 'A1 LESSTHAN A2' {0,1}
@attribute 'A2 LESSTHAN A3' {0,1}
@attribute 'A1 LESSTHAN A3' {0,1}
@attribute A1_x_A2 {'\'(-inf-0.5]\'_x_\'(-inf-0.500065]\'','\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(0.5-inf)\'_x_\'(0.500065-inf)\''}
@attribute A2_x_A3 {'\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\''}
@attribute A1_x_A3 {'\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\''}
@attribute class numeric

@data
0.362263,0.888175,0.261655,0.688437,0.109661,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1.250438,1.14983,0.623918,-0.525912,0.62652,0.100608,0.407873,2.451741,3.394451,0.294598,1.384506,0.722279,0.321753,0.232395,0.094788,1,0,0,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'',-2.365752
0.089413,0.773268,0.591524,0.774721,0.896795,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0.862681,1.364792,0.680937,-0.683855,0.181744,-0.502111,0.11563,8.648273,1.307247,0.764966,0.151157,6.615638,0.06914,0.457407,0.05289,1,0,1,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'',-2.369364
0.507227,0.359603,0.095163,0.42619,0.379501,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0.86683,0.454766,0.60239,0.147624,0.26444,0.412064,1.410519,0.708959,3.778811,0.264633,5.330086,0.187614,0.1824,0.034221,0.048269,0,0,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',0.031452
0.566837,0.449369,0.053249,0.757346,0.203298,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1.016206,0.502618,0.620086,0.117468,0.39612,0.513588,1.261407,0.792766,8.439013,0.118497,10.645026,0.093941,0.254719,0.023928,0.030184,0,0,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',-0.016437
0.329655,0.87554,0.734317,0.78227,0.012426,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1.205195,1.609857,1.063972,-0.545885,0.141223,-0.404662,0.376516,2.655928,1.192319,0.838702,0.448927,2.227532,0.288626,0.642924,0.242071,1,0,1,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'',-2.816684
0.853164,0.562511,0.438566,0.238707,0.624225,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.415675,1.001077,1.29173,0.290653,0.123945,0.414598,1.516706,0.659323,1.282614,0.779658,1.945349,0.514047,0.479914,0.246698,0.374169,0,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',0.067955
0.563826,0.635782,0.742989,0.054993,0.007104,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.199608,1.378771,1.306815,-0.071956,-0.107207,-0.179163,0.886823,1.127621,0.855708,1.168622,0.758862,1.317763,0.35847,0.472379,0.418917,1,1,1,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',-1.319845
0.929552,0.02396,0.429342,0.634279,0.344216,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0.953512,0.453302,1.358894,0.905592,-0.405382,0.50021,38.795993,0.025776,0.055806,17.919115,2.165062,0.461881,0.022272,0.010287,0.399096,0,1,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',1.297069
0.837624,0.80799,0.746212,0.311889,0.511484,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.645614,1.554202,1.583836,0.029634,0.061778,0.091412,1.036676,0.964621,1.082789,0.923541,1.122501,0.890868,0.676792,0.602932,0.625045,0,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',-1.301528
0.495349,0.017678,0.7958,0.327842,0.740197,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.513027,0.813478,1.291149,0.477671,-0.778122,-0.300451,28.020647,0.035688,0.022214,45.016405,0.622454,1.606544,0.008757,0.014068,0.394199,0,1,1,'\'(-inf-0.5]\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'',-0.305996
0.501003,0.173853,0.904983,0.766186,0.599148,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0.674856,1.078836,1.405986,0.32715,-0.73113,-0.40398,2.881762,0.34701,0.192106,5.205449,0.553605,1.806342,0.087101,0.157334,0.453399,0,1,1,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',-0.493651
0.693726,0.716882,0.979113,0.141569,0.82741,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.410608,1.695995,1.672839,-0.023156,-0.262231,-0.285387,0.967699,1.033379,0.732175,1.365794,0.708525,1.411383,0.49732,0.701908,0.679236,1,1,1,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',-1.558361
0.635255,0.730153,0.079974,0.650961,0.652199,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.365408,0.810127,0.715229,-0.094898,0.650179,0.555281,0.87003,1.149386,9.12988,0.10953,7.943269,0.125893,0.463833,0.058393,0.050804,1,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',-0.872248
0.3277,0.736136,0.454324,0.747304,0.085204,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1.063836,1.19046,0.782024,-0.408436,0.281812,-0.126624,0.445162,2.246372,1.620289,0.617174,0.721291,1.386402,0.241232,0.334444,0.148882,1,0,1,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'',-1.86524
0.980212,0.146446,0.200059,0.068373,0.19555,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1.126658,0.346505,1.180271,0.833766,-0.053613,0.780153,6.693334,0.149402,0.732014,1.366094,4.899615,0.204098,0.143548,0.029298,0.1961,0,1,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',1.657231
0.662493,0.516524,0.862306,0.394774,0.502847,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.179017,1.37883,1.524799,0.145969,-0.345782,-0.199813,1.282599,0.779667,0.599003,1.66944,0.768281,1.301608,0.342194,0.445402,0.571272,0,1,1,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',-0.784903
0.538658,0.117646,0.391944,0.737645,0.235355,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0.656304,0.50959,0.930602,0.421012,-0.274298,0.146714,4.578634,0.218406,0.30016,3.331554,1.374324,0.727631,0.063371,0.046111,0.211124,0,1,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',0.14684
0.854524,0.50691,0.295995,0.136162,0.504072,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.361434,0.802905,1.150519,0.347614,0.210915,0.558529,1.685751,0.593207,1.712563,0.58392,2.886954,0.346386,0.433167,0.150043,0.252935,0,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',0.393555
0.880498,0.125573,0.361806,0.449492,0.112966,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1.006071,0.487379,1.242304,0.754925,-0.236233,0.518692,7.011842,0.142616,0.347073,2.88124,2.433619,0.410911,0.110567,0.045433,0.318569,0,1,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',1.141443
0.856199,0.730076,0.392152,0.603189,0.930053,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.586275,1.122228,1.248351,0.126123,0.337924,0.464047,1.172753,0.852694,1.861717,0.537139,2.183335,0.458015,0.62509,0.286301,0.33576,0,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',-0.525029
0.471273,0.212913,0.662354,0.771563,0.674353,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.684186,0.875267,1.133627,0.25836,-0.449441,-0.191081,2.213453,0.451783,0.321449,3.110914,0.711512,1.405457,0.10034,0.141024,0.31215,0,1,1,'\'(-inf-0.5]\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'',-0.354153
0.124848,0.203443,0.461603,0.703043,0.820761,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0.328291,0.665046,0.586451,-0.078595,-0.25816,-0.336755,0.613676,1.629526,0.440732,2.268955,0.270466,3.69732,0.025399,0.09391,0.05763,1,1,1,'\'(-inf-0.5]\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'',-0.554597
0.566616,0.553473,0.470647,0.007379,0.830596,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.120089,1.02412,1.037263,0.013143,0.082826,0.095969,1.023746,0.976804,1.175983,0.850352,1.203909,0.830628,0.313607,0.26049,0.266676,0,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',-0.747536
0.122244,0.642892,0.187826,0.781502,0.874418,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0.765136,0.830718,0.31007,-0.520648,0.455066,-0.065582,0.190147,5.259088,3.422806,0.292158,0.650836,1.536484,0.07859,0.120752,0.022961,1,0,1,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'',-1.397868
0.55011,0.804942,0.563064,0.161413,0.833187,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.355052,1.368006,1.113174,-0.254832,0.241878,-0.012954,0.683416,1.463238,1.429575,0.699509,0.976994,1.023548,0.442807,0.453234,0.309747,1,0,1,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',-1.901616
0.890274,0.915969,0.03829,0.62215,0.17701,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.806243,0.954259,0.928564,-0.025695,0.877679,0.851984,0.971948,1.028862,23.921886,0.041803,23.250823,0.043009,0.815463,0.035072,0.034089,1,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',-0.970114
0.82914,0.088186,0.3519,0.22986,0.371992,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0.917326,0.440086,1.18104,0.740954,-0.263714,0.47724,9.402173,0.106358,0.2506,3.990429,2.356181,0.424416,0.073119,0.031033,0.291774,0,1,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',0.999715
0.593318,0.156548,0.520883,0.454309,0.774973,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0.749866,0.677431,1.114201,0.43677,-0.364335,0.072435,3.790007,0.263852,0.300544,3.327305,1.139062,0.877915,0.092883,0.081543,0.309049,0,1,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',0.109648
0.15193,0.537465,0.269114,0.247808,0.815343,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0.689395,0.806579,0.421044,-0.385535,0.268351,-0.117184,0.282679,3.537583,1.997165,0.50071,0.564556,1.771303,0.081657,0.144639,0.040886,1,0,1,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'',-1.089555
0.94713,0.213999,0.537831,0.102154,0.563612,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1.161129,0.75183,1.484961,0.733131,-0.323832,0.409299,4.425862,0.225945,0.397893,2.513241,1.761018,0.567853,0.202685,0.115095,0.509396,0,1,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',1.118891
0.157626,0.498826,0.900895,0.359578,0.020673,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.656452,1.399721,1.058521,-0.3412,-0.402069,-0.743269,0.315994,3.164618,0.5537,1.806031,0.174966,5.715396,0.078628,0.44939,0.142004,1,1,1,'\'(-inf-0.5]\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'',-1.597685
0.728562,0.921596,0.053603,0.774291,0.633991,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.650158,0.975199,0.782165,-0.193034,0.867993,0.674959,0.790544,1.264952,17.192993,0.058163,13.591814,0.073574,0.67144,0.0494,0.039053,1,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',-1.540017
0.13652,0.862522,0.124157,0.62374,0.448143,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0.999042,0.986679,0.260677,-0.726002,0.738365,0.012363,0.15828,6.317917,6.947027,0.143946,1.099576,0.909442,0.117752,0.107088,0.01695,1,0,0,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'',-2.318717
0.854952,0.344516,0.016536,0.346124,0.967797,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1.199468,0.361052,0.871488,0.510436,0.32798,0.838416,2.481603,0.402965,20.834301,0.047998,51.702467,0.019341,0.294545,0.005697,0.014137,0,0,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',1.089277
0.954131,0.645841,0.933185,0.154761,0.184871,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.599972,1.579026,1.887316,0.30829,-0.287344,0.020946,1.477347,0.676889,0.692082,1.444914,1.022446,0.978047,0.616217,0.602689,0.890381,0,1,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',-0.363784
0.813784,0.849218,0.324363,0.483665,0.20161,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.663002,1.173581,1.138147,-0.035434,0.524855,0.489421,0.958275,1.043542,2.61811,0.381955,2.508868,0.398586,0.69108,0.275455,0.263961,1,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',-1.16339
0.303617,0.69469,0.609883,0.579202,0.637741,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0.998307,1.304573,0.9135,-0.391073,0.084807,-0.306266,0.437054,2.288047,1.139055,0.877921,0.497828,2.008725,0.21092,0.42368,0.185171,1,0,1,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'',-1.873298
0.943082,0.242726,0.672839,0.582578,0.061192,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1.185808,0.915565,1.615921,0.700356,-0.430113,0.270243,3.885377,0.257375,0.360749,2.77201,1.401646,0.713447,0.228911,0.163316,0.634542,0,1,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',0.92922
0.396979,0.348195,0.651085,0.139321,0.360555,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.745174,0.99928,1.048064,0.048784,-0.30289,-0.254106,1.140105,0.877112,0.534792,1.869886,0.609719,1.640099,0.138226,0.226705,0.258467,0,1,1,'\'(-inf-0.5]\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'',-0.69962
0.344709,0.910364,0.398656,0.313516,0.157776,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1.255073,1.30902,0.743365,-0.565655,0.511708,-0.053947,0.37865,2.640964,2.283583,0.437908,0.864678,1.1565,0.313811,0.362922,0.13742,1,0,1,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'',-2.647297
0.71573,0.666046,0.265814,0.306839,0.856893,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.381776,0.93186,0.981544,0.049684,0.400232,0.449916,1.074595,0.930583,2.505684,0.399093,2.692597,0.371389,0.476709,0.177044,0.190251,0,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',-0.572128
