@relation 'modGroup-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NI1 and I2-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI2 and R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 and R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 or I2-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI2 or R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 or R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 equ I2-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI2 equ R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 equ R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 xor I2-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI2 xor R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 xor R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 impl I2-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI2 impl R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 impl R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 and I2 and R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 or I2 or R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-N(I1 <= 0.140835) and (I2 >= 0.737664)-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I1 <= 0.313643) and (I2 >= 0.669821)-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I1 >= 0.372994) and (I2 <= 0.596417) and (I1 <= 0.640129) and (I2 >= 0.396389)-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I2 <= 0.304998) and (I1 >= 0.703413)-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I2 <= 0.594098) and (I1 >= 0.372994) and (I2 >= 0.38795) and (I1 <= 0.505561)-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I1 >= 0.408338) and (I2 <= 0.596417) and (I2 >= 0.403317) and (I1 <= 0.630798)-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I1 <= 0.265298) and (I2 >= 0.669821)-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I1 <= 0.140835) and (I2 >= 0.737664))-L0,1,2-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I1 <= 0.313643) and (I2 >= 0.669821))-L0,1,2-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I1 >= 0.372994) and (I2 <= 0.596417) and (I1 <= 0.640129) and (I2 >= 0.396389))-L0,1,2,3,4-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I2 <= 0.304998) and (I1 >= 0.703413))-L0,1,2-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I2 <= 0.594098) and (I1 >= 0.372994) and (I2 >= 0.38795) and (I1 <= 0.505561))-L0,1,2,3,4-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I1 >= 0.408338) and (I2 <= 0.596417) and (I2 >= 0.403317) and (I1 <= 0.630798))-L0,1,2,3,4-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I1 <= 0.265298) and (I2 >= 0.669821))-L0,1,2-C18-W1.0-weka.filters.unsupervised.attribute.Add-NI1 ADD I2-C19-W1.0-weka.filters.unsupervised.attribute.Add-NI2 ADD R1-C20-W1.0-weka.filters.unsupervised.attribute.Add-NI1 ADD R1-C21-W1.0-weka.filters.unsupervised.attribute.Add-NI1 SUBTRACT I2-C22-W1.0-weka.filters.unsupervised.attribute.Add-NI2 SUBTRACT R1-C23-W1.0-weka.filters.unsupervised.attribute.Add-NI1 SUBTRACT R1-C24-W1.0-weka.filters.unsupervised.attribute.Add-NI1 DIVIDE I2-C25-W1.0-weka.filters.unsupervised.attribute.Add-NI2 DIVIDE I1-C26-W1.0-weka.filters.unsupervised.attribute.Add-NI2 DIVIDE R1-C27-W1.0-weka.filters.unsupervised.attribute.Add-NR1 DIVIDE I2-C28-W1.0-weka.filters.unsupervised.attribute.Add-NI1 DIVIDE R1-C29-W1.0-weka.filters.unsupervised.attribute.Add-NR1 DIVIDE I1-C30-W1.0-weka.filters.unsupervised.attribute.Add-NI1 MULTIPLY I2-C31-W1.0-weka.filters.unsupervised.attribute.Add-NI2 MULTIPLY R1-C32-W1.0-weka.filters.unsupervised.attribute.Add-NI1 MULTIPLY R1-C33-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NI1 LESSTHAN I2-L0,1-C34-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NI2 LESSTHAN R1-L0,1-C35-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NI1 LESSTHAN R1-L0,1-C36-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NI1 DIFF I2-L0,1-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NI2 DIFF R1-L0,1-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NI1 DIFF R1-L0,1-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NI1_x_I2-L\'All\'_x_\'All\'-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NI2_x_R1-L\'All\'_x_\'All\'-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NI1_x_R1-L\'All\'_x_\'All\'-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37'

@attribute I1 numeric
@attribute I2 numeric
@attribute R1 numeric
@attribute R2 numeric
@attribute '(I1 <= 0.140835) and (I2 >= 0.737664)' {0,1}
@attribute '(I1 <= 0.313643) and (I2 >= 0.669821)' {0,1}
@attribute '(I1 >= 0.372994) and (I2 <= 0.596417) and (I1 <= 0.640129) and (I2 >= 0.396389)' {0,1}
@attribute '(I2 <= 0.304998) and (I1 >= 0.703413)' {0,1}
@attribute '(I2 <= 0.594098) and (I1 >= 0.372994) and (I2 >= 0.38795) and (I1 <= 0.505561)' {0,1}
@attribute '(I1 >= 0.408338) and (I2 <= 0.596417) and (I2 >= 0.403317) and (I1 <= 0.630798)' {0,1}
@attribute '(I1 <= 0.265298) and (I2 >= 0.669821)' {0,1}
@attribute 'num-of-N((I1 <= 0.140835) and (I2 >= 0.737664))' {0,1,2}
@attribute 'num-of-N((I1 <= 0.313643) and (I2 >= 0.669821))' {0,1,2}
@attribute 'num-of-N((I1 >= 0.372994) and (I2 <= 0.596417) and (I1 <= 0.640129) and (I2 >= 0.396389))' {0,1,2,3,4}
@attribute 'num-of-N((I2 <= 0.304998) and (I1 >= 0.703413))' {0,1,2}
@attribute 'num-of-N((I2 <= 0.594098) and (I1 >= 0.372994) and (I2 >= 0.38795) and (I1 <= 0.505561))' {0,1,2,3,4}
@attribute 'num-of-N((I1 >= 0.408338) and (I2 <= 0.596417) and (I2 >= 0.403317) and (I1 <= 0.630798))' {0,1,2,3,4}
@attribute 'num-of-N((I1 <= 0.265298) and (I2 >= 0.669821))' {0,1,2}
@attribute 'I1 ADD I2' numeric
@attribute 'I2 ADD R1' numeric
@attribute 'I1 ADD R1' numeric
@attribute 'I1 SUBTRACT I2' numeric
@attribute 'I2 SUBTRACT R1' numeric
@attribute 'I1 SUBTRACT R1' numeric
@attribute 'I1 DIVIDE I2' numeric
@attribute 'I2 DIVIDE I1' numeric
@attribute 'I2 DIVIDE R1' numeric
@attribute 'R1 DIVIDE I2' numeric
@attribute 'I1 DIVIDE R1' numeric
@attribute 'R1 DIVIDE I1' numeric
@attribute 'I1 MULTIPLY I2' numeric
@attribute 'I2 MULTIPLY R1' numeric
@attribute 'I1 MULTIPLY R1' numeric
@attribute 'I1 LESSTHAN I2' {0,1}
@attribute 'I2 LESSTHAN R1' {0,1}
@attribute 'I1 LESSTHAN R1' {0,1}
@attribute class {0,1,2}

@data
0.059606,0.808315,0.828365,0.500169,1,1,0,0,0,0,1,2,2,2,0,2,2,2,0.867921,1.63668,0.887971,-0.748709,-0.02005,-0.768759,0.073741,13.560967,0.975796,1.024805,0.071956,13.897343,0.04818,0.66958,0.049376,1,1,1,2
0.945004,0.503444,0.208356,0.129369,0,0,0,0,0,0,0,0,0,3,1,3,3,0,1.448448,0.7118,1.15336,0.44156,0.295088,0.736648,1.877079,0.532743,2.416268,0.413861,4.535526,0.220482,0.475757,0.104896,0.196897,0,0,0,0
0.884056,0.666667,0.185012,0.465648,0,0,0,0,0,0,0,0,0,2,1,2,2,0,1.550723,0.851679,1.069068,0.217389,0.481655,0.699044,1.326083,0.7541,3.603372,0.277518,4.778371,0.209276,0.589371,0.123341,0.163561,0,0,0,1
0.137882,0.57687,0.54057,0.5647,0,0,0,0,0,0,0,1,1,3,0,3,3,1,0.714752,1.11744,0.678452,-0.438988,0.0363,-0.402688,0.239017,4.183795,1.067151,0.937074,0.255068,3.920526,0.07954,0.311839,0.074535,1,0,1,1
0.434522,0.791986,0.793458,0.526608,0,0,0,0,0,0,0,1,1,3,0,3,3,1,1.226508,1.585444,1.22798,-0.357464,-0.001472,-0.358936,0.548649,1.82266,0.998145,1.001859,0.547631,1.826048,0.344135,0.628408,0.344775,1,1,1,0
0.803207,0.456667,0.423277,0.178069,0,0,0,0,0,0,0,0,0,3,1,3,3,0,1.259874,0.879944,1.226484,0.34654,0.03339,0.37993,1.758846,0.568555,1.078885,0.926883,1.897592,0.526984,0.366798,0.193297,0.339979,0,0,0,0
0.472206,0.891589,0.862591,0.161627,0,0,0,0,0,0,0,1,1,3,0,3,3,1,1.363795,1.75418,1.334797,-0.419383,0.028998,-0.390385,0.529623,1.888136,1.033617,0.967476,0.547427,1.826726,0.421014,0.769077,0.407321,1,0,1,0
0.204668,0.092808,0.558781,0.333333,0,0,0,0,0,0,0,0,1,2,1,2,2,1,0.297476,0.651589,0.763449,0.11186,-0.465973,-0.354113,2.205284,0.453456,0.16609,6.020828,0.366276,2.730183,0.018995,0.051859,0.114365,0,1,1,0
0.16196,0.166763,0.891845,0.392599,0,0,0,0,0,0,0,0,1,2,1,2,2,1,0.328723,1.058608,1.053805,-0.004803,-0.725082,-0.729885,0.971199,1.029655,0.186987,5.347979,0.181601,5.506576,0.027009,0.148727,0.144443,1,1,1,0
0.233716,0.22093,0.159708,0.528673,0,0,0,0,0,0,0,0,1,2,1,2,2,1,0.454646,0.380638,0.393424,0.012786,0.061222,0.074008,1.057874,0.945293,1.383337,0.72289,1.463396,0.683342,0.051635,0.035284,0.037326,0,0,0,0
0.816957,0.81224,0.561702,0.214786,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.629197,1.373942,1.378659,0.004717,0.250538,0.255255,1.005807,0.994226,1.446034,0.691547,1.454431,0.687554,0.663565,0.456237,0.458886,0,0,0,1
0.782387,0.60656,0.889378,0.06627,0,0,0,0,0,0,0,0,0,2,1,2,2,0,1.388947,1.495938,1.671765,0.175827,-0.282818,-0.106991,1.289876,0.775269,0.682005,1.466265,0.879701,1.136749,0.474565,0.539461,0.695838,0,1,1,0
0.835853,0.578482,0.804732,0.817818,0,0,0,0,0,0,0,0,0,3,1,3,3,0,1.414335,1.383214,1.640585,0.257371,-0.22625,0.031121,1.444908,0.692086,0.71885,1.39111,1.038673,0.962767,0.483526,0.465523,0.672638,0,1,0,0
0.789097,0.764949,0.526124,0.171541,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.554046,1.291073,1.315221,0.024148,0.238825,0.262973,1.031568,0.969398,1.453933,0.68779,1.499831,0.666742,0.603619,0.402458,0.415163,0,0,0,1
0.802177,0.136172,0.452036,0.790463,0,0,0,1,0,0,0,0,0,2,2,2,2,0,0.938349,0.588208,1.254213,0.666005,-0.315864,0.350141,5.89091,0.169753,0.301241,3.319596,1.774587,0.563512,0.109234,0.061555,0.362613,0,1,0,2
0.141543,0.619616,0.791621,0.884165,0,0,0,0,0,0,0,0,1,2,0,2,2,1,0.761159,1.411237,0.933164,-0.478073,-0.172005,-0.650078,0.228437,4.377581,0.782718,1.277599,0.178801,5.592795,0.087702,0.490501,0.112048,1,1,1,1
0.583936,0.923891,0.852613,0.860803,0,0,0,0,0,0,0,1,1,3,0,2,3,1,1.507827,1.776504,1.436549,-0.339955,0.071278,-0.268677,0.63204,1.582179,1.083599,0.92285,0.684878,1.460114,0.539493,0.787721,0.497871,1,0,1,0
0.138103,0.838136,0.795249,0.467413,1,1,0,0,0,0,1,2,2,2,0,2,2,2,0.976239,1.633385,0.933352,-0.700033,0.042887,-0.657146,0.164774,6.06892,1.053929,0.948831,0.17366,5.758376,0.115749,0.666527,0.109826,1,0,1,2
0.223555,0.537519,0.958549,0.016249,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.761074,1.496068,1.182104,-0.313964,-0.42103,-0.734994,0.415902,2.404415,0.560763,1.783284,0.233222,4.287755,0.120165,0.515238,0.214288,1,1,1,1
0.134827,0.116234,0.732914,0.773301,0,0,0,0,0,0,0,1,1,2,1,2,2,1,0.251061,0.849148,0.867741,0.018593,-0.61668,-0.598087,1.159962,0.862097,0.158592,6.305504,0.18396,5.435959,0.015671,0.08519,0.098817,0,1,1,2
0.931328,0.488224,0.802501,0.136433,0,0,0,0,0,0,0,0,0,3,1,3,3,0,1.419552,1.290725,1.733829,0.443104,-0.314277,0.128827,1.907583,0.524223,0.608378,1.643715,1.160532,0.861674,0.454697,0.3918,0.747392,0,1,0,0
0.246606,0.504425,0.114669,0.451059,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.751031,0.619094,0.361275,-0.257819,0.389756,0.131937,0.488885,2.045469,4.398966,0.227326,2.15059,0.464989,0.124394,0.057842,0.028278,1,0,0,1
0.440568,0.801882,0.161844,0.425945,0,0,0,0,0,0,0,1,1,3,0,3,3,1,1.24245,0.963726,0.602412,-0.361314,0.640038,0.278724,0.549417,1.820109,4.95466,0.20183,2.722177,0.367353,0.353284,0.12978,0.071303,1,0,0,0
0.486767,0.070177,0.47747,0.588545,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0.556944,0.547647,0.964237,0.41659,-0.407293,0.009297,6.936275,0.14417,0.146977,6.803796,1.019471,0.980901,0.03416,0.033507,0.232417,0,1,0,1
0.918663,0.875514,0.930113,0.483835,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.794177,1.805627,1.848776,0.043149,-0.054599,-0.01145,1.049284,0.953031,0.941299,1.062362,0.98769,1.012464,0.804302,0.814327,0.85446,0,1,1,1
0.496341,0.545414,0.170164,0.507062,0,0,1,0,1,1,0,0,0,4,0,4,4,0,1.041755,0.715578,0.666505,-0.049073,0.37525,0.326177,0.910026,1.09887,3.205226,0.311991,2.916839,0.342837,0.270711,0.09281,0.084459,1,0,0,2
0.173335,0.546147,0.498568,0.513608,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.719482,1.044715,0.671903,-0.372812,0.047579,-0.325233,0.317378,3.150818,1.095431,0.912882,0.347666,2.876326,0.094666,0.272291,0.086419,1,0,1,0
0.394837,0.105701,0.209399,0.541318,0,0,0,0,0,0,0,0,0,3,1,3,2,0,0.500538,0.3151,0.604236,0.289136,-0.103698,0.185438,3.735414,0.267708,0.504783,1.98105,1.885573,0.530343,0.041735,0.022134,0.082678,0,1,0,1
0.515273,0.219935,0.443928,0.851257,0,0,0,0,0,0,0,0,0,3,1,2,3,0,0.735208,0.663863,0.959201,0.295338,-0.223993,0.071345,2.342842,0.426832,0.495429,2.018451,1.160713,0.861539,0.113327,0.097635,0.228744,0,1,0,1
0.827171,0.185193,0.848114,0.57946,0,0,0,1,0,0,0,0,0,2,2,2,2,0,1.012364,1.033307,1.675285,0.641978,-0.662921,-0.020943,4.466535,0.223887,0.218359,4.579622,0.975306,1.025319,0.153186,0.157065,0.701535,0,1,1,2
0.220605,0.508365,0.438518,0.097591,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.72897,0.946883,0.659123,-0.28776,0.069847,-0.217913,0.43395,2.304413,1.15928,0.862605,0.503069,1.987797,0.112148,0.222927,0.096739,1,0,1,1
0.180659,0.669821,0.509343,0.827265,0,1,0,0,0,0,1,0,2,2,0,2,2,2,0.85048,1.179164,0.690002,-0.489162,0.160478,-0.328684,0.269712,3.707654,1.315069,0.760417,0.35469,2.819361,0.121009,0.341169,0.092017,1,0,1,2
0.17323,0.446527,0.836188,0.793639,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.619757,1.282715,1.009418,-0.273297,-0.389661,-0.662958,0.38795,2.577654,0.534003,1.872648,0.207166,4.827039,0.077352,0.373381,0.144853,1,1,1,1
0.195836,0.808254,0.515708,0.132515,0,1,0,0,0,0,1,1,2,2,0,2,2,2,1.00409,1.323962,0.711544,-0.612418,0.292546,-0.319872,0.242295,4.127198,1.567271,0.638052,0.379742,2.633367,0.158285,0.416823,0.100994,1,0,1,2
0.533142,0.159838,0.405188,0.107367,0,0,0,0,0,0,0,0,0,3,1,2,3,0,0.69298,0.565026,0.93833,0.373304,-0.24535,0.127954,3.335515,0.299804,0.394479,2.534992,1.315789,0.76,0.085216,0.064764,0.216023,0,1,0,1
0.156971,0.856271,0.848454,0.494733,0,1,0,0,0,0,1,1,2,2,0,2,2,2,1.013242,1.704725,1.005425,-0.6993,0.007817,-0.691483,0.183319,5.454963,1.009213,0.990871,0.185008,5.405164,0.13441,0.726507,0.133183,1,0,1,0
0.529884,0.4568,0.922156,0.513681,0,0,1,0,0,1,0,0,0,4,0,3,4,0,0.986684,1.378956,1.45204,0.073084,-0.465356,-0.392272,1.159991,0.862075,0.495361,2.01873,0.574614,1.740298,0.242051,0.421241,0.488636,0,1,1,2
0.466153,0.515273,0.82752,0.163376,0,0,1,0,1,1,0,0,0,4,0,4,4,0,0.981426,1.342793,1.293673,-0.04912,-0.312247,-0.361367,0.904672,1.105373,0.622671,1.605984,0.563313,1.775211,0.240196,0.426399,0.385751,1,1,1,2
0.525082,0.569432,0.869615,0.79271,0,0,1,0,0,1,0,0,0,4,0,3,4,0,1.094514,1.439047,1.394697,-0.04435,-0.300183,-0.344533,0.922115,1.084463,0.654809,1.527162,0.60381,1.656151,0.298998,0.495187,0.456619,1,1,1,2
0.55811,0.819854,0.47995,0.477556,0,0,0,0,0,0,0,1,1,3,0,2,3,1,1.377964,1.299804,1.03806,-0.261744,0.339904,0.07816,0.680743,1.468983,1.708207,0.585409,1.16285,0.859956,0.457569,0.393489,0.267865,1,0,0,2
0.139233,0.505018,0.798836,0.267244,0,0,0,0,0,0,0,1,1,3,0,3,3,1,0.644251,1.303854,0.938069,-0.365785,-0.293818,-0.659603,0.275699,3.627143,0.632192,1.581797,0.174295,5.737404,0.070315,0.403427,0.111224,1,1,1,1
0.817893,0.811613,0.595815,0.187755,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.629506,1.407428,1.413708,0.00628,0.215798,0.222078,1.007738,0.992322,1.36219,0.734112,1.37273,0.728475,0.663813,0.483571,0.487313,0,0,0,1
0.850158,0.770009,0.124163,0.759704,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.620167,0.894172,0.974321,0.080149,0.645846,0.725995,1.104088,0.905725,6.201598,0.161249,6.847112,0.146047,0.654629,0.095607,0.105558,0,0,0,1
0.141198,0.114994,0.786984,0.827371,0,0,0,0,0,0,0,0,1,2,1,2,2,1,0.256192,0.901978,0.928182,0.026204,-0.67199,-0.645786,1.227873,0.814417,0.14612,6.843696,0.179417,5.57362,0.016237,0.090498,0.111121,0,1,1,0
0.527973,0.23048,0.554405,0.798711,0,0,0,0,0,0,0,0,0,3,1,2,3,0,0.758453,0.784885,1.082378,0.297493,-0.323925,-0.026432,2.290754,0.436537,0.415725,2.405436,0.952324,1.050063,0.121687,0.127779,0.292711,0,1,1,0
0.486054,0.492956,0.522382,0.516923,0,0,1,0,1,1,0,0,0,4,0,4,4,0,0.97901,1.015338,1.008436,-0.006902,-0.029426,-0.036328,0.985999,1.0142,0.94367,1.059693,0.930457,1.074741,0.239603,0.257511,0.253906,1,1,1,2
0.140835,0.868818,0.855252,0.46712,1,1,0,0,0,0,1,2,2,2,0,2,2,2,1.009653,1.72407,0.996087,-0.727983,0.013566,-0.714417,0.1621,6.169049,1.015862,0.984386,0.164671,6.072723,0.12236,0.743058,0.120449,1,0,1,2
0.787672,0.50935,0.283331,0.140759,0,0,0,0,0,0,0,0,0,3,1,3,3,0,1.297022,0.792681,1.071003,0.278322,0.226019,0.504341,1.546426,0.646652,1.797721,0.55626,2.780042,0.359707,0.401201,0.144315,0.223172,0,0,0,0
0.236728,0.951347,0.795715,0.491637,0,1,0,0,0,0,1,1,2,2,0,2,2,2,1.188075,1.747062,1.032443,-0.714619,0.155632,-0.558987,0.248835,4.018735,1.195588,0.836409,0.297504,3.361305,0.22521,0.757001,0.188368,1,0,1,2
0.85421,0.835018,0.547965,0.411905,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.689228,1.382983,1.402175,0.019192,0.287053,0.306245,1.022984,0.977532,1.523853,0.656231,1.558877,0.641487,0.713281,0.457561,0.468077,0,0,0,1
0.797143,0.393603,0.540266,0.847594,0,0,0,0,0,0,0,0,0,2,1,3,2,0,1.190746,0.933869,1.337409,0.40354,-0.146663,0.256877,2.025246,0.493767,0.728536,1.372617,1.475464,0.677753,0.313758,0.21265,0.430669,0,1,0,1
0.784069,0.107656,0.3729,0.513022,0,0,0,1,0,0,0,0,0,2,2,2,2,0,0.891725,0.480556,1.156969,0.676413,-0.265244,0.411169,7.283096,0.137304,0.288699,3.463811,2.102625,0.475596,0.08441,0.040145,0.292379,0,1,0,1
0.140604,0.617413,0.772458,0.26527,0,0,0,0,0,0,0,1,1,2,0,2,2,1,0.758017,1.389871,0.913062,-0.476809,-0.155045,-0.631854,0.227731,4.391148,0.799284,1.25112,0.182022,5.493855,0.086811,0.476926,0.108611,1,1,1,1
0.072017,0.883283,0.123654,0.847681,1,1,0,0,0,0,1,2,2,2,0,2,2,2,0.9553,1.006937,0.195671,-0.811266,0.759629,-0.051637,0.081533,12.264924,7.143182,0.139994,0.582407,1.717011,0.063611,0.109221,0.008905,1,0,1,2
0.86616,0.117247,0.872848,0.550693,0,0,0,1,0,0,0,0,0,2,2,2,2,0,0.983407,0.990095,1.739008,0.748913,-0.755601,-0.006688,7.387481,0.135364,0.134327,7.444523,0.992338,1.007721,0.101555,0.102339,0.756026,0,1,1,0
0.197562,0.185913,0.495646,0.549851,0,0,0,0,0,0,0,0,1,2,1,2,2,1,0.383475,0.681559,0.693208,0.011649,-0.309733,-0.298084,1.062658,0.941036,0.375092,2.66601,0.398595,2.508812,0.036729,0.092147,0.097921,0,1,1,2
0.082221,0.486204,0.832904,0.549166,0,0,0,0,0,0,0,1,1,3,0,3,3,1,0.568425,1.319108,0.915125,-0.403983,-0.3467,-0.750683,0.169108,5.91338,0.583746,1.713075,0.098716,10.130064,0.039976,0.404961,0.068482,1,1,1,1
0.452604,0.498119,0.814722,0.180647,0,0,1,0,1,1,0,0,0,4,0,4,4,0,0.950723,1.312841,1.267326,-0.045515,-0.316603,-0.362118,0.908626,1.100563,0.611398,1.635597,0.555532,1.800077,0.225451,0.405829,0.368746,1,1,1,2
0.553996,0.138349,0.193928,0.891813,0,0,0,0,0,0,0,0,0,3,1,2,3,0,0.692345,0.332277,0.747924,0.415647,-0.055579,0.360068,4.004337,0.249729,0.713404,1.40173,2.85671,0.350053,0.076645,0.02683,0.107435,0,1,0,1
0.536428,0.154805,0.126312,0.828746,0,0,0,0,0,0,0,0,0,3,1,2,3,0,0.691233,0.281117,0.66274,0.381623,0.028493,0.410116,3.465185,0.288585,1.225576,0.815943,4.246849,0.235469,0.083042,0.019554,0.067757,0,0,0,2
0.597287,0.163663,0.448073,0.743022,0,0,0,0,0,0,0,0,0,3,1,2,3,0,0.76095,0.611736,1.04536,0.433624,-0.28441,0.149214,3.649493,0.274011,0.36526,2.737778,1.333013,0.75018,0.097754,0.073333,0.267628,0,1,0,1
0.482321,0.19292,0.437476,0.863868,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0.675241,0.630396,0.919797,0.289401,-0.244556,0.044845,2.500109,0.399983,0.440984,2.267655,1.102508,0.907023,0.093049,0.084398,0.211004,0,1,0,2
0.815909,0.802551,0.48073,0.878523,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.61846,1.283281,1.296639,0.013358,0.321821,0.335179,1.016644,0.983628,1.669442,0.599002,1.697229,0.589196,0.654809,0.38581,0.392232,0,0,0,1
0.517639,0.903271,0.915622,0.872959,0,0,0,0,0,0,0,1,1,3,0,2,3,1,1.42091,1.818893,1.433261,-0.385632,-0.012351,-0.397983,0.573072,1.744983,0.986511,1.013674,0.565341,1.768843,0.467568,0.827055,0.473962,1,1,1,0
0.896601,0.887219,0.121924,0.418937,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.78382,1.009143,1.018525,0.009382,0.765295,0.774677,1.010575,0.989536,7.27682,0.137423,7.35377,0.135985,0.795481,0.108173,0.109317,0,0,0,1
0.204276,0.144521,0.396262,0.182663,0,0,0,0,0,0,0,0,1,2,1,2,2,1,0.348797,0.540783,0.600538,0.059755,-0.251741,-0.191986,1.413469,0.707479,0.364711,2.741899,0.515507,1.939836,0.029522,0.057268,0.080947,0,1,1,0
0.140543,0.261171,0.864554,0.113299,0,0,0,0,0,0,0,1,1,2,1,2,2,1,0.401714,1.125725,1.005097,-0.120628,-0.603383,-0.724011,0.538126,1.8583,0.302088,3.310299,0.162561,6.151527,0.036706,0.225796,0.121507,1,1,1,0
0.883167,0.184839,0.475468,0.552639,0,0,0,1,0,0,0,0,0,2,2,2,2,0,1.068006,0.660307,1.358635,0.698328,-0.290629,0.407699,4.778034,0.209291,0.388752,2.572336,1.857469,0.538367,0.163244,0.087885,0.419918,0,1,0,1
0.550929,0.902344,0.171704,0.886622,0,0,0,0,0,0,0,1,1,3,0,2,3,1,1.453273,1.074048,0.722633,-0.351415,0.73064,0.379225,0.610553,1.637859,5.25523,0.190287,3.208597,0.311663,0.497127,0.154936,0.094597,1,0,0,0
